ENG_tion	FR_tion	eng_stem	fr_stem	ratio_similarity
invalidation	annulation	invalid	annul	33
invention	invention	invent	invent	100
investigation	enquete	investig	enquet	29
invitation	invitation	invit	invit	100
invocation	invocation	invoc	invoc	100
involution	involution	involut	involu	92
ionisation	ionisation	ionis	ionis	100
irradiation	irradiation	irradi	irradi	100
irresolution	irresolution	irresolut	irresolu	82
irrigation	irrigation	irrig	irrig	100
irritation	irritation	irrit	irrit	100
irruption	irruption	irrupt	irrupt	100
isolation	isolation	isol	isol	100
italicisation	italique	italicis	ital	67
iteration	iteration	iter	iter	100
jubilation	jubilation	jubil	jubil	100
junction	jonction	junction	jonction	88
jurisdiction	juridiction	jurisdict	juridict	94
justification	justification	justif	justif	100
juxtaposition	juxtaposition	juxtaposit	juxtaposit	100
laceration	laceration	lacer	lacer	100
lactation	lactation	lactat	lactat	100
lamentation	lamentation	lament	lament	100
lamination	laminage	lamin	laminag	83
lateralisation	lateralisation	lateralis	lateralis	89
legalisation	legalisation	legalis	legalis	86
legation	legation	legat	legat	80
legislation	legislation	legisl	legisl	83
legitimation	legitimation	legitim	legitim	86
legitimisation	legitimation	legitimis	legitim	75
levitation	levitation	levit	levit	80
libation	libation	libat	libat	100
liberalisation	liberalisation	liberalis	liberalis	89
liberation	liberation	liber	liber	100
limitation	limitation	limit	limit	100
liquefaction	liquefaction	liquefact	liquefact	89
liquidation	liquidation	liquid	liquid	100
litigation	litige	litig	litig	100
localisation	localisation	localis	localis	100
location	emplacement	locat	emplac	36
locomotion	locomotion	locomot	locomot	100
lotion	lotion	lotion	lotion	100
lubrication	lubrification	lubric	lubrif	83
machination	machination	machin	machin	100
magnetisation	aimantation	magnetis	aimant	57
magnification	grossissement	magnif	gross	18
maladministration	mauvaise administration	maladministr	mauvaise administr	73
malefaction	malfaction	malefact	malfact	93
malformation	malformation	malform	malform	100
malfunction	mauvais fonctionnement	malfunct	mauvais fonction	50
malnutrition	malnutrition	malnutrit	malnutrit	100
manifestation	manifestation	manifest	manifest	100
manipulation	manipulation	manipul	manipul	100
marginalisation	marginalisation	marginalis	marginalis	100
mastication	mastication	mastic	mastiqu	77
materialisation	materialisation	materialis	materialis	90
matriculation	immatriculation	matricul	immatricul	89
maturation	maturation	matur	matur	100
maximisation	maximisation	maximis	maximis	100
mechanisation	mecanisation	mechanis	mecanis	80
mediation	la mediation	mediat	la medi	46
medication	des medicaments	medic	des medic	57
meditation	meditation	medit	medit	80
memorisation	memorisation	memoris	memoris	86
menstruation	menstruation	menstruat	menstruat	100
mention	mention	mention	mention	100
metrication	metrication	metric	metriqu	62
micturition	miction	micturit	miction	67
migration	migration	migrat	migrat	100
militarisation	militarisation	militaris	militaris	100
mineralisation	mineralisation	mineralis	mineralis	89
miniaturisation	miniaturisation	miniaturis	miniaturis	100
minimisation	minimisation	minimis	minimis	100
ministration	administration	ministr	administr	88
misapplication	mauvaise application	misappl	mauvaise appl	70
misappropriation	detournement	misappropri	detourn	11
miscalculation	erreur de calcul	miscalcul	erreur de calcul	48
miscegenation	metissage	miscegen	metissag	50
misconception	idee fausse	misconcept	idee fauss	20
misconfiguration	mauvaise configuration	misconfigur	mauvaise configur	79
misdirection	mauvaise direction	misdirect	mauvaise direct	75
misidentification	identification erronee	misidentif	identification erron	47
misinformation	desinformation	misinform	desinform	78
misinterpretation	interpretation erronee	misinterpret	interpretation erron	50
mispronunciation	prononciation incorrecte	mispronunci	prononciation incorrect	41
misquotation	citation inexacte	misquot	citation inexact	26
misrepresentation	fausse declaration	misrepresent	fausse declar	24
mistranslation	erreur de traduction	mistransl	erreur de traduct	23
mitigation	attenuation	mitig	attenu	18
mobilisation	la mobilisation	mobilis	la mobilis	82
moderation	moderation	moder	moder	100
modernisation	modernisation	modernis	modernis	100
modification	modification	modif	modif	100
modularisation	modularisation	modularis	modularis	100
modulation	modulation	modul	modul	100
molestation	attentat à la pudeur	molest	attentat à la pudeur	15
monition	monition	monit	monit	100
monopolisation	monopolisation	monopolis	monopolis	100
mortification	mortification	mortif	mortif	100
motion	mouvement	motion	mouv	40
motivation	motivation	motiv	motiv	100
multifunction	multifonction	multifunct	multifonct	90
multiplication	multiplication	multipl	multipl	100
mummification	momification	mummif	momif	73
munition	munition	munit	munit	100
mutation	mutation	mutat	mutat	100
mutilation	mutilation	mutil	mutil	100
mystification	mystification	mystif	mystif	100
narration	narration	narrat	narrat	100
nation	nation	nation	nation	100
nationalisation	nationalisation	nationalis	nationalis	100
naturalisation	naturalisation	naturalis	naturalis	100
navigation	la navigation	navig	la navig	77
negation	negation	negat	negat	80
negotiation	negociation	negoti	negoci	67
neutralisation	neutralisation	neutralis	neutralis	100
nomination	nomination	nomin	nomin	100
nonintervention	non-intervention	nonintervent	non-intervent	96
nonparticipation	pas de participation	nonparticip	pas de particip	62
normalisation	normalisation	normalis	normalis	100
notation	notation	notat	notat	100
notification	notification	notif	notif	100
notion	notion	notion	notion	100
nullification	annulation	nullif	annul	55
nutation	nutation	nutat	nutat	100
nutrition	nutrition	nutrit	nutrit	100
obfuscation	obscurcissement	obfusc	obscurc	62
objection	objection	object	object	100
obligation	obligation	oblig	oblig	100
obliteration	obliteration	obliter	obliter	100
obscuration	obscurcissement	obscur	obscurc	92
observation	observation	observ	observ	100
obstruction	obstruction	obstruct	obstruct	100
occupation	Occupation	occup	occup	100
operation	operation	oper	oper	100
opposition	opposition	opposit	opposit	100
optimisation	optimisation	optimis	optimis	100
option	option	option	option	100
oration	discours solennel	orat	discours solennel	19
orchestration	orchestration	orchestr	orchestr	100
ordination	ordination	ordin	ordin	100
organisation	organisation	organis	organis	100
orientation	orientation	orient	orient	100
origination	creation	origin	creation	29
ornamentation	ornementation	ornament	ornement	88
oscillation	oscillation	oscil	oscill	91
ossification	ossification	ossif	ossif	100
ostentation	ostentation	ostent	ostent	100
outstation	outstation	outstat	outstat	100
ovation	ovation	ovat	ovat	100
overallocation	surutilisation	overalloc	surutilis	22
overestimation	surestimation	overestim	surestim	71
overpopulation	surpopulation	overpopul	surpopul	71
overproduction	surproduction	overproduct	surproduct	76
overreaction	reaction exageree	overreact	reaction exager	33
oversimplification	simplification excessive	oversimplif	simplification excess	44
ovulation	ovulation	ovul	ovul	100
oxidation	oxydation	oxid	oxyd	75
oxidisation	oxydation	oxidis	oxyd	60
oxygenation	oxygenation	oxygen	oxygen	100
pacification	pacification	pacif	pacif	100
pagination	pagination	pagin	pagin	100
palpitation	palpitation	palpit	palpit	100
parametrisation	parametrage	parametris	parametrag	70
participation	participation	particip	particip	100
partition	cloison	partit	cloison	15
pasteurisation	pasteurisation	pasteuris	pasteuris	100
patination	patination	patin	patin	100
patronisation	patronisation	patronis	patronis	100
pedestrianisation	pietonisation	pedestrianis	pietonis	50
penalisation	penalisation	penalis	penalis	86
penetration	penetration	penetr	penetr	83
perception	la perception	percept	la percept	82
percolation	percolation	percol	percol	100
perdition	perdition	perdit	perdit	100
perfection	la perfection	perfect	la perfect	82
perforation	perforation	perfor	perfor	100
permeation	penetration	permeat	penetr	46
permutation	permutation	permut	permut	100
peroration	peroraison	peror	peroraison	53
perpetration	perpetration	perpetr	perpetr	100
perpetuation	perpetuation	perpetu	perpetu	86
persecution	persecution	persecut	persecu	80
personalisation	personnalisation	personalis	personnalis	95
personification	personnification	personif	personnif	94
perspiration	transpiration	perspir	transpir	67
perturbation	perturbation	perturb	perturb	100
petition	petition	petit	petit	80
petrification	petrification	petrif	petrif	83
pigmentation	pigmentation	pigment	pigment	100
plantation	plantation	plantat	plantat	100
pluralisation	pluralisation	pluralis	pluralis	100
polarisation	polarisation	polaris	polaris	100
politicisation	politisation	politicis	politis	88
pollination	pollinisation	pollin	pollinis	86
pollution	la pollution	pollut	la pollu	71
polymerisation	polymerisation	polymeris	polymeris	89
pontification	pontification	pontif	pontif	100
popularisation	vulgarisation	popularis	vulgaris	71
population	population	popul	popul	100
portion	portion	portion	portion	100
position	positionner	posit	position	77
postulation	postulation	postul	postul	100
potion	potion	potion	potion	100
precaution	precaution	precaut	precaut	86
precipitation	precipitation	precipit	precipit	88
precognition	preconnaissance	precognit	preconnaiss	60
preconception	preconception	preconcept	preconcept	90
precondition	condition prealable	precondit	condition preal	50
predation	predation	predat	predat	83
predestination	predestination	predestin	predestin	89
predetermination	predetermination	predetermin	predetermin	82
prediction	prediction	predict	predict	86
predilection	predilection	predilect	predilect	89
predisposition	predisposition	predisposit	predisposit	91
prefabrication	prefabrication	prefabr	prefabr	86
premeditation	premeditation	premedit	premedit	75
premonition	premonition	premonit	premonit	88
preoccupation	preoccupation	preoccup	preoccup	88
preparation	preparation	prepar	prepar	83
preposition	preposition	preposit	preposit	88
prescription	prescription	prescript	prescript	100
presentation	presentation	present	present	86
preservation	preservation	preserv	preserv	86
prestidigitation	prestidigitation	prestidigit	prestidigit	100
presumption	presomption	presumpt	presompt	75
presupposition	presupposition	presupposit	presupposit	91
prevarication	tergiversation	prevar	tergivers	40
prevention	la prevention	prevent	la prevent	71
prioritisation	priorisation	prioritis	prioris	88
privation	privation	privat	privat	100
privatisation	privatisation	privatis	privatis	100
probation	probation	probat	probat	100
proclamation	proclamation	proclam	proclam	100
procrastination	procrastination	procrastin	procrastin	100
procreation	procreation	procreat	procreat	88
production	production	product	product	100
profanation	profanation	profan	profan	100
professionalisation	professionnalisation	professionalis	professionnalis	97
prognostication	pronostic	prognost	pronostic	82
prohibition	interdiction	prohibit	interdict	35
projection	projection	project	project	100
proletarianisation	proletarisation	proletarianis	proletaris	78
proliferation	proliferation	prolifer	prolifer	100
prolongation	prolongement	prolong	prolong	100
promotion	promotion	promot	promot	100
promulgation	promulgation	promulg	promulg	100
pronunciation	prononciation	pronunci	prononci	88
propagation	propagation	propag	propag	100
propitiation	propitiation	propiti	propiti	100
proportion	proportion	proport	proport	100
proposition	proposition	proposit	proposit	100
proscription	proscription	proscript	proscript	100
prosecution	poursuite	prosecut	poursuit	62
prostitution	la prostitution	prostitut	la prostitu	80
prostration	prostration	prostrat	prostrat	100
protection	protection	protect	protect	100
protestation	protestation	protest	protest	100
provocation	provocation	provoc	provoc	100
publication	publication	public	publiqu	77
pulsation	pulsation	pulsat	pulsat	100
pulverisation	pulverisation	pulveris	pulveris	88
punctuation	ponctuation	punctuat	ponctuat	88
purification	purification	purif	purif	100
putrefaction	putrefaction	putrefact	putrefact	89
qualification	qualification	qualif	qualif	100
quantification	quantification	quantif	quantif	100
quantisation	quantification	quantis	quantif	86
question	question	question	question	100
quotation	devis	quotat	dev	0
radiation	radiation	radiat	radiat	100
ramification	ramification	ramif	ramif	100
randomisation	randomisation	randomis	randomis	100
rarefaction	rarefaction	rarefact	rarefact	88
ratification	ratification	ratif	ratif	100
ratiocination	ratiocination	ratiocin	ratiocin	100
ration	ration	ration	ration	100
rationalisation	rationalisation	rationalis	rationalis	100
reabsorption	reabsorption	reabsorpt	reabsorpt	89
reacquisition	reacquisition	reacquisit	reacquisit	90
reaction	reaction	reaction	reaction	88
reactivation	reactivation	reactiv	reactiv	86
reaffirmation	reaffirmation	reaffirm	reaffirm	88
reafforestation	reboisement	reafforest	rebois	50
realisation	la concretisation	realis	la concretis	33
reallocation	reaffectation	realloc	reaffect	40
reassertion	reaffirmation	reassert	reaffirm	38
recalculation	recalcul	recalcul	recalcul	100
recalibration	recalibrage	recalibr	recalibrag	89
recantation	abjuration	recant	abjur	18
recapitalisation	recapitalisation	recapitalis	recapitalis	100
recapitulation	recapitulation	recapitul	recapitul	89
reception	accueil	recept	accueil	15
reciprocation	reciprocite	reciproc	reciproc	88
recirculation	recirculation	recircul	recircul	100
recitation	recitation	recit	recit	80
reclamation	reclamation	reclam	reclam	83
reclassification	reclassement	reclassif	reclass	88
recognition	reconnaissance	recognit	reconnaiss	67
recollection	souvenir	recollect	souven	13
recombination	recombinaison	recombin	recombinaison	76
recommendation	recommandation	recommend	recommand	89
recompilation	recompilation	recompil	recompil	100
reconciliation	reconciliation	reconcili	reconcili	89
reconfiguration	reconfiguration	reconfigur	reconfigur	100
reconnection	reconnexion	reconnect	reconnexion	70
reconsideration	reexamen	reconsider	reexamen	33
reconstitution	reconstitution	reconstitut	reconstitu	95
reconstruction	reconstruction	reconstruct	reconstruct	100
recreation	des loisirs	recreat	des loisir	12
recrimination	recrimination	recrimin	recrimin	88
recrystallisation	recristallisation	recrystallis	recristallis	92
rectification	rectification	rectif	rectif	100
recuperation	recuperation	recuper	recuper	86
redaction	redaction	redact	redact	83
redeclaration	redeclaration	redeclar	redeclar	88
redecoration	redecoration	redecor	redecor	86
rededication	nouvelle consecration	reded	nouvelle consecr	10
redefinition	redefinition	redefinit	redefinit	89
redemption	rachat	redempt	rachat	31
redeposition	redeposition	redeposit	redeposit	89
redirection	redirection	redirect	redirect	100
redistribution	redistribution	redistribut	redistribu	95
reduction	reduction	reduct	reduct	83
reflation	relance	reflat	relanc	67
reflection	reflexion	reflect	reflexion	50
reforestation	reboisement	reforest	rebois	57
reformation	reformation	reform	reform	83
reformulation	reformulation	reformul	reformul	100
refraction	refraction	refract	refract	86
refrigeration	refrigeration	refriger	refriger	88
refutation	refutation	refut	refut	80
regeneration	regeneration	regener	regener	71
regimentation	reglementation	regiment	reglement	71
regionalisation	regionalisation	regionalis	regionalis	90
registration	enregistrement	registr	enregistr	88
regularisation	regularisation	regularis	regularis	89
regulation	regulation	regul	regul	80
regurgitation	regurgitation	regurgit	regurgit	88
rehabilitation	rehabilitation	rehabilit	rehabilit	89
reification	reification	reific	reifiqu	62
reimplementation	reimplementation	reimplement	reimplement	82
reincarnation	reincarnation	reincarn	reincarn	88
reinfection	reinfection	reinfect	reinfect	88
reinitialisation	reinitialisation	reinitialis	reinitialis	91
reintegration	reintegration	reintegr	reintegr	88
reinterpretation	reinterpretation	reinterpret	reinterpret	91
reintroduction	reintroduction	reintroduct	reintroduct	91
reinvention	reinvention	reinvent	reinvent	88
reinvestigation	nouvelle enquete	reinvestig	nouvelle enquet	32
reiteration	reiteration	reiter	reiter	83
rejection	rejet	reject	rejet	91
rejuvenation	rajeunissement	rejuven	rajeun	62
relation	relation	relat	relat	100
relaxation	relaxation	relax	relax	100
relegation	relegation	releg	releg	100
relocation	demenagement	reloc	demenag	0
remonstration	remontrance	remonstr	remontr	93
remuneration	remuneration	remuner	remuner	86
rendition	interpretation	rendit	interpret	40
renegotiation	renegociation	renegoti	renegoci	75
renormalisation	renormalisation	renormalis	renormalis	100
renovation	renovation	renov	renov	80
renunciation	renonciation	renunci	renonci	86
reoccupation	reoccupation	reoccup	reoccup	86
reorganisation	reorganisation	reorganis	reorganis	89
reorientation	reorientation	reorient	reorient	88
reparation	reparation	repar	repar	80
repartition	repartition	repartit	repartit	88
repatriation	rapatriement	repatri	rapatri	86
repetition	repetition	repetit	repetit	71
replication	replication	replic	repliqu	62
reposition	repositionner	reposit	reposition	82
representation	representation	represent	represent	89
reproduction	la reproduction	reproduct	la reproduct	86
republication	republication	republ	republ	100
repudiation	repudiation	repudi	repudi	83
reputation	reputation	reput	reput	80
requisition	requisition	requisit	requisit	88
reregistration	reinscription	reregistr	reinscript	42
reselection	reselection	reselect	reselect	88
reservation	reservation	reserv	reserv	83
resignation	demission	resign	demiss	17
resolution	resolution	resolut	resolu	77
respiration	respiration	respir	respir	100
restitution	restitution	restitut	restitu	93
restoration	restauration	restor	restaur	77
restriction	restriction	restrict	restrict	100
resumption	reprise	resumpt	repris	46
resurrection	resurrection	resurrect	resurrect	89
resuscitation	reanimation	resuscit	reanim	29
retaliation	represailles	retali	represaill	50
retardation	retardement	retard	retard	100
retention	retention	retent	retent	83
reticulation	reticulation	reticul	reticul	86
retraction	retraction	retract	retract	86
retribution	châtiment	retribut	chât	17
retrospection	retrospection	retrospect	retrospect	90
reunification	reunification	reunif	reunif	83
revaluation	reevaluation	revalu	reevalu	77
revelation	revelation	revel	revel	80
reverberation	reverberation	reverber	reverber	88
revitalisation	revitalisation	revitalis	revitalis	100
revocation	revocation	revoc	revoc	80
revolution	revolution	revolut	revolu	77
rotation	rotation	rotat	rotat	100
ruction	ruction	ruction	ruction	100
ruination	ruine	ruinat	ruin	80
rumination	rumination	rumin	rumin	100
salivation	salivation	saliv	saliv	100
salutation	salutation	salut	salut	100
salvation	salut	salvat	salut	73
sanctification	sanctification	sanctif	sanctif	100
sanction	sanction	sanction	sanction	100
sanitation	assainissement	sanit	assain	55
satiation	satiete	satiat	satiet	83
satisfaction	la satisfaction	satisfact	la satisfact	86
saturation	saturation	satur	satur	100
scintillation	scintillation	scintil	scintill	93
secretion	secretion	secret	secret	83
section	section	section	section	100
secularisation	secularisation	secularis	secularis	89
sedation	sedation	sedat	sedat	80
sedimentation	sedimentation	sediment	sediment	88
sedition	sedition	sedit	sedit	80
seduction	seduction	seduct	seduct	83
segmentation	segmentation	segment	segment	100
segregation	segregation	segreg	segreg	83
selection	selection	select	select	83
selfdestruction	auto destruction	selfdestruct	auto destruct	64
sensation	sensation	sensat	sensat	100
sensitisation	sensibilisation	sensitis	sensibilis	78
separation	separation	separ	separ	80
sequestration	sequestration	sequestr	sequestr	88
serialisation	serialisation	serialis	serialis	88
signification	signification	signif	signif	100
simplification	simplification	simplif	simplif	100
simulation	simulation	simul	simul	100
singularisation	singularisation	singularis	singularis	100
situation	situation	situat	situat	100
socialisation	socialisation	socialis	socialis	100
solicitation	sollicitation	solicit	sollicit	93
solidification	solidification	solidif	solidif	100
solution	solution	solut	solut	100
sophistication	sophistication	sophist	sophist	100
specialisation	specialisation	specialis	specialis	89
speciation	speciation	speciat	speciat	86
specification	specification	specif	specif	83
speculation	speculation	specul	specul	83
stabilisation	stabilisation	stabilis	stabilis	100
stagflation	stagflation	stagflat	stagflat	100
stagnation	stagnation	stagnat	stagnat	100
standardisation	standardisation	standardis	standardis	100
starvation	famine	starvat	famin	17
station	gare	station	gar	20
sterilisation	sterilisation	sterilis	sterilis	88
stigmatisation	stigmatisation	stigmatis	stigmatis	100
stimulation	stimulation	stimul	stimul	100
stipulation	stipulation	stipul	stipul	100
strangulation	etranglement	strangul	etrangl	80
stratification	stratification	stratif	stratif	100
striation	striation	striation	striation	100
stupefaction	stupefaction	stupefact	stupefact	89
stylisation	stylisation	stylis	stylis	100
subduction	subduction	subduct	subduct	100
subjection	sujetion	subject	sujet	83
subjugation	assujettissement	subjug	assujet	46
sublimation	sublimation	sublim	sublim	100
subordination	subordination	subordin	subordin	100
subscription	abonnement	subscript	abon	15
subsection	sous-section	subsect	sous-sect	75
substantiation	justification	substanti	justif	53
substation	sous-station	substat	sous-stat	75
substitution	substitution	substitut	substitu	94
subtraction	soustraction	subtract	soustract	82
suburbanisation	suburbanisation	suburbanis	suburbanis	100
subvention	subvention	subvent	subvent	100
suction	succion	suction	succion	86
suffocation	suffocation	suffoc	suffoc	100
suggestion	suggestion	suggest	suggest	100
summation	addition	summat	addit	36
superannuation	retraite	superannu	retrait	38
superimposition	superposition	superimposit	superposit	91
superposition	superposition	superposit	superposit	100
supersaturation	sursaturation	supersatur	sursatur	89
superstition	superstition	superstit	superstit	100
supplementation	supplementation	supplement	supplement	90
supplication	supplication	supplic	suppliqu	80
supposition	supposition	supposit	supposit	100
symbolisation	symbolisation	symbolis	symbolis	100
symmetrisation	symetrisation	symmetris	symetris	82
synchronisation	synchronisation	synchronis	synchronis	100
syncopation	syncope	syncop	syncop	100
syndication	syndication	syndic	syndiqu	77
systematisation	systematisation	systematis	systematis	90
tabulation	tabulation	tabul	tabul	100
taxation	Imposition	taxat	imposit	17
telecommunication	telecommunication	telecommun	telecommun	80
temptation	tentation	temptat	tentat	77
termination	Resiliation	termin	resili	33
tessellation	tessellation	tessel	tessel	100
theorisation	theorisation	theoris	theoris	86
titillation	titillation	titil	titill	91
titration	titrage	titrat	titrag	83
toleration	tolerance	toler	toler	100
traction	traction	traction	traction	100
tradition	tradition	tradit	tradit	100
transaction	transaction	transact	transact	100
transcription	transcription	transcript	transcript	100
transduction	transduction	transduct	transduct	100
transection	transection	transect	transect	100
transfiguration	transfiguration	transfigur	transfigur	100
transformation	transformation	transform	transform	100
transition	transition	transit	transit	100
translation	Traduction	translat	traduct	53
transliteration	transliteration	transliter	transliter	100
transmigration	transmigration	transmigr	transmigr	100
transmogrification	transmogrification	transmogrif	transmogrif	100
transmutation	transmutation	transmut	transmut	100
transpiration	transpiration	transpir	transpir	100
transplantation	transplantation	transplant	transplant	100
transportation	transport	transport	transport	100
transposition	transposition	transposit	transposit	100
trepidation	inquietude	trepid	inquietud	27
triangulation	triangulation	triangul	triangul	100
tribulation	tribulations	tribul	tribul	100
triplication	triplication	triplic	tripliqu	80
trisection	trisection	trisect	trisect	100
trivialisation	banalisation	trivialis	banalis	50
truncation	troncature	truncat	troncatur	75
tuition	frais de scolarite	tuition	frais de scolar	18
uglification	uglification	uglif	uglif	100
ulceration	ulceration	ulcer	ulcer	100
unction	onction	unction	onction	86
underestimation	sous-estimation	underestim	sous-estim	60
underpopulation	sous-population	underpopul	sous-popul	60
undulation	ondulation	undul	ondul	80
unification	unification	unif	unif	100
unionisation	syndicalisation	unionis	syndicalis	47
unsophistication	insophistication	unsophist	insophist	89
urbanisation	urbanisation	urbanis	urbanis	100
usurpation	usurpation	usurp	usurp	100
utilisation	utilisation	utilis	utilis	100
vacation	vacances	vacat	vacanc	73
vaccination	vaccination	vaccin	vaccin	100
vacillation	hesitation	vacil	hesit	20
valediction	adieu	valedict	adieu	46
validation	validation	valid	valid	100
valuation	evaluation	valuat	evalu	73
vaporisation	vaporisation	vaporis	vaporis	100
variation	variation	variat	variat	100
vectorisation	vectorisation	vectoris	vectoris	100
vegetation	vegetation	veget	veget	80
veneration	veneration	vener	vener	80
ventilation	ventilation	ventil	ventil	100
verification	verification	verif	verif	80
versification	versification	versif	versif	100
vexation	vexation	vexat	vexat	100
vibration	vibration	vibrat	vibrat	100
victimisation	victimisation	victimis	victimis	100
vilification	diffamation	vilif	diffam	36
vindication	justification	vindic	justif	17
violation	violation	violat	violat	100
visitation	visitation	visit	visit	100
visualisation	visualisation	visualis	visualis	100
vituperation	vituperation	vituper	vituper	100
vivisection	vivisection	vivisect	vivisect	100
vocalisation	vocalisation	vocalis	vocalis	100
vocation	vocation	vocat	vocat	100
volition	volition	volit	volit	100
westernisation	occidentalisation	westernis	occidentalis	38
workstation	poste de travail	workstat	poste de travail	33
zonation	zonage	zonat	zonag	80
