	ENG_c	FR_c	eng_stem	fr_stem	ratio_similarity
589	nucleic	nucléique	nucleic	nucléiqu	67
590	numeric	numérique	numer	numer	100
591	numismatic	numismatique	numismat	numismat	100
592	nymphomaniac	nymphomane	nymphomaniac	nymphoman	86
593	obstetric	obstétrique	obstetr	obstetr	100
594	oceanic	océanique	ocean	océan	80
595	oceanographic	océanographique	oceanograph	océanograph	91
596	ohmic	ohmique	ohmic	ohmiqu	73
597	olympic	olympique	olymp	olymp	100
598	oolitic	oolithique	oolit	oolith	91
599	operatic	opératique	operat	opérat	83
600	ophthalmic	ophtalmique	ophthalm	ophtalm	93
601	opportunistic	opportuniste	opportunist	opportun	84
602	optic	optique	optic	optiqu	73
603	optimistic	optimiste	optimist	optim	77
604	optoelectronic	optoélectronique	optoelectron	optoélectron	92
605	organic	biologique	organ	biolog	36
606	orthographic	orthographique	orthograph	orthograph	100
607	orthopaedic	orthopédique	orthopaed	orthoped	94
608	orthorhombic	orthorhombique	orthorhomb	orthorhomb	100
609	osmotic	osmotique	osmot	osmot	100
610	overdramatic	trop dramatique	overdramat	trop dramat	67
611	overenthusiastic	trop enthousiaste	overenthusiast	trop enthousiast	73
612	overoptimistic	trop optimiste	overoptimist	trop optim	55
613	oxalic	oxalique	oxal	oxal	100
614	pacific	pacifique	pacif	pacif	100
615	paediatric	pédiatrique	paediatr	pédiatr	80
616	palaeographic	paléographique	palaeograph	paléograph	86
617	palaeolithic	paléolithique	palaeolith	paléolith	84
618	palindromic	palindromique	palindrom	palindrom	100
619	pancreatic	pancréatique	pancreat	pancréat	88
620	pandemic	pandémie	pandem	pandem	100
621	panic	panique	panic	paniqu	73
622	panoramic	panoramique	panoram	panoram	100
623	pantheistic	panthéiste	pantheist	panthéist	89
624	parabolic	parabolique	parabol	parabol	100
625	paradigmatic	paradigmatique	paradigmat	paradigmat	100
626	paralinguistic	paralinguistique	paralinguist	paralinguist	100
627	paralytic	paralytique	paralyt	paralyt	100
628	paramagnetic	paramagnétique	paramagnet	paramagnet	100
629	paramedic	paramédical	paramed	paramédical	67
630	parametric	paramétrique	parametr	parametr	100
631	paranoiac	paranoïaque	paranoiac	paranoïaqu	74
632	paraplegic	paraplégique	parapleg	parapleg	100
633	parasitic	parasite	parasit	parasit	100
634	parenthetic	parenthétique	parenthet	parenthet	100
635	parsec	parsec	parsec	parsec	100
636	paternalistic	paternaliste	paternalist	paternal	84
637	pathetic	pathétique	pathet	pathet	100
638	pathogenic	pathogène	pathogen	pathogen	100
639	patriotic	patriotique	patriot	patriot	100
640	pedagogic	pédagogique	pedagog	pédagog	86
641	pedantic	pédant	pedant	ped	67
642	pelvic	pelvien	pelvic	pelvien	77
643	pentasyllabic	pentasyllabique	pentasyllab	pentasyllab	100
644	pentatonic	pentatonique	pentaton	pentaton	100
645	peptic	peptique	peptic	peptiqu	77
646	periodic	périodique	period	périod	83
647	peripatetic	ambulant	peripatet	ambul	14
648	periphrastic	périphrastique	periphrast	périphrast	90
649	pessimistic	pessimiste	pessimist	pessim	80
650	petrographic	pétrographique	petrograph	pétrograph	90
651	philanthropic	philanthropique	philanthrop	philanthrop	100
652	philatelic	philatélique	philatel	philatel	100
653	philharmonic	philharmonique	philharmon	philharmon	100
654	philosophic	philosophique	philosoph	philosoph	100
655	phlegmatic	flegmatique	phlegmat	flegmat	80
656	phobic	phobique	phobic	phobiqu	77
657	phonemic	phonémique	phonem	phonem	100
658	phonetic	phonétique	phonet	phonet	100
659	phonographic	phonographique	phonograph	phonograph	100
660	phosphatic	phosphaté	phosphat	phosphat	100
661	phosphoric	phosphorique	phosphor	phosphor	100
662	photoelectric	photo-électrique	photoelectr	photo-électr	87
663	photogenic	photogénique	photogen	photogen	100
664	photographic	photographique	photograph	photograph	100
665	photolytic	photolytique	photolyt	photolyt	100
666	photometric	photométrique	photometr	photometr	100
667	photosynthetic	photosynthétique	photosynthet	photosynthet	100
668	photovoltaic	photovoltaïque	photovolta	photovoltaïqu	87
669	phylogenetic	phylogénétique	phylogenet	phylogénet	90
670	physic	physique	physic	physiqu	77
671	pianistic	pianistique	pianist	pianist	100
672	picnic	pique-nique	picnic	pique-n	46
673	pictographic	pictographique	pictograph	pictograph	100
674	piezoelectric	piézoélectrique	piezoelectr	piézoélectr	82
675	planktonic	planctonique	plankton	plancton	88
676	plastic	Plastique	plastic	plastiqu	80
677	platonic	platonique	platon	platon	100
678	pluralistic	pluraliste	pluralist	plural	80
679	plutonic	plutonique	pluton	pluton	100
680	pneumatic	pneumatique	pneumat	pneumat	100
681	poetic	poétique	poetic	poétiqu	62
682	poikilothermic	poikilothermique	poikilotherm	poikilotherm	100
683	polemic	polémique	polem	polem	100
684	politic	politique	polit	polit	100
685	polyatomic	polyatomique	polyatom	polyatom	100
686	polychromatic	polychrome	polychromat	polychrom	90
687	polycyclic	polycyclique	polycycl	polycycl	100
688	polymeric	polymère	polymer	polymer	100
689	polymorphic	polymorphe	polymorph	polymorph	100
690	polyphonic	polyphonique	polyphon	polyphon	100
691	polysyllabic	polysyllabique	polysyllab	polysyllab	100
692	polytechnic	polytechnique	polytechn	polytechn	100
693	polytheistic	polythéiste	polytheist	polythé	71
694	popmusic	musique pop	popmus	musique pop	35
695	pornographic	pornographique	pornograph	pornograph	100
696	porphyritic	porphyritique	porphyrit	porphyrit	100
697	pragmatic	pragmatique	pragmat	pragmat	100
698	prehistoric	préhistorique	prehistor	préhistor	89
699	priapic	priapique	priapic	priapiqu	80
700	prismatic	prismatique	prismat	prismat	100
701	probabilistic	probabiliste	probabilist	probabil	84
702	problematic	problématique	problemat	problémat	89
703	programmatic	programmatique	programmat	programmat	100
704	prolific	prolifique	prolif	prolif	100
705	prophetic	prophétique	prophet	prophet	100
706	prophylactic	prophylactique	prophylact	prophylact	100
707	prosaic	prosaïque	prosaic	prosaïqu	67
708	prosodic	prosodique	prosod	prosod	100
709	prostatic	prostatique	prostat	prostat	100
710	prosthetic	prothétique	prosthet	prothet	93
711	protoplasmic	protoplasmique	protoplasm	protoplasm	100
712	prussic	prussique	prussic	prussiqu	80
713	psychedelic	psychédélique	psychedel	psychédel	89
714	psychiatric	psychiatrique	psychiatr	psychiatr	100
715	psychic	psychique	psychic	psychiqu	80
716	psychoanalytic	psychanalytique	psychoanalyt	psychanalyt	96
717	psychokinetic	psychocinétique	psychokinet	psychocinet	91
718	psycholinguistic	psycholinguistique	psycholinguist	psycholinguist	100
719	psychometric	psychométrique	psychometr	psychometr	100
720	psychopathic	psychopathique	psychopath	psychopath	100
721	psychosomatic	psychosomatique	psychosomat	psychosomat	100
722	psychotic	psychotique	psychot	psychot	100
723	pubic	pubien	pubic	pubien	73
724	public	Publique	public	publiqu	77
725	pugilistic	pugilistique	pugilist	pugilist	100
726	pyromaniac	pyromane	pyromaniac	pyroman	82
727	pyrotechnic	pyrotechnique	pyrotechn	pyrotechn	100
728	quadratic	quadratique	quadrat	quadrat	100
729	quadrophonic	quadrophonique	quadrophon	quadrophon	100
730	quartic	quartique	quartic	quartiqu	80
731	quebec	Québec	quebec	québec	83
732	quintic	quintique	quintic	quintiqu	80
733	quixotic	chimérique	quixot	chimer	17
734	radiographic	radiographique	radiograph	radiograph	100
735	radiometric	radiométrique	radiometr	radiometr	100
736	rationalistic	rationaliste	rationalist	rational	84
737	realistic	réaliste	realist	réalist	86
738	relativistic	relativiste	relativist	relativ	82
739	relic	relique	relic	reliqu	73
740	republic	république	republ	républ	83
741	rhapsodic	rhapsodique	rhapsod	rhapsod	100
742	rhetoric	rhétorique	rhetor	rhétor	83
743	rheumatic	rhumatismal	rheumat	rhumatismal	67
744	rhombic	rhombique	rhombic	rhombiqu	80
745	rhythmic	rythmique	rhythmic	rythmiqu	75
746	ribonucleic	ribonucléique	ribonucl	ribonuclé	94
747	ritualistic	ritualiste	ritualist	ritual	80
748	robotic	robotique	robot	robot	100
749	roc	roc	roc	roc	100
750	romantic	romantique	romant	romant	100
751	rubric	rubrique	rubric	rubriqu	77
752	rustic	rustique	rustic	rustiqu	77
753	sac	sac	sac	sac	100
754	sadistic	sadique	sadist	sadiqu	67
755	sadomasochistic	sadomasochiste	sadomasochist	sadomasoch	87
756	salicylic	salicylique	salicyl	salicyl	100
757	sarcastic	sarcastique	sarcast	sarcast	100
758	sardonic	sardonique	sardon	sardon	100
759	satanic	satanique	satan	satan	100
760	satiric	satirique	satir	satir	100
761	satyric	satyrique	satyr	satyr	100
762	scenic	scénique	scenic	scéniqu	62
763	sceptic	sceptique	sceptic	sceptiqu	80
764	schematic	schématique	schemat	schémat	86
765	schismatic	schismatique	schismat	schismat	100
766	schizophrenic	schizophrène	schizophren	schizophren	100
767	scholastic	scolaire	scholast	scolair	67
768	scientific	scientifique	scientif	scientif	100
769	sec	seconde	sec	second	67
770	seismic	sismique	seismic	sismiqu	71
771	semantic	sémantique	semant	sémant	83
772	semitic	sémitique	semit	sémit	80
773	sensationalistic	sensationnaliste	sensationalist	sensationnal	85
774	septic	septique	septic	septiqu	77
775	seraphic	séraphique	seraph	séraph	83
776	shamanic	chamanique	shaman	chaman	83
777	shamanistic	chamanique	shamanist	chaman	67
778	shellac	gomme laque	shellac	gomme laqu	35
779	sic	sic	sic	sic	100
780	simplistic	simpliste	simplist	simplist	100
781	skeptic	sceptique	skeptic	sceptiqu	67
782	slavic	slave	slavic	slav	80
783	socialistic	socialiste	socialist	social	80
784	socioeconomic	socio-économique	socioeconom	socio-économ	87
785	sociolinguistic	sociolinguistique	sociolinguist	sociolinguist	100
786	somatic	somatique	somat	somat	100
787	sonic	sonique	sonic	soniqu	73
788	soporific	soporifique	soporif	soporif	100
789	spasmodic	spasmodique	spasmod	spasmod	100
790	spastic	spasmodique	spastic	spasmod	57
791	spec	spec	spec	spec	100
792	specific	spécifique	specif	spécif	83
793	spectrometric	spectrométrique	spectrometr	spectrometr	100
794	spectroscopic	spectroscopique	spectroscop	spectroscop	100
795	spheric	sphérique	spheric	sphériqu	67
796	splenetic	atrabilaire	splenet	atrabilair	12
797	sporadic	sporadique	sporad	sporad	100
798	static	statique	static	statiqu	77
799	statistic	statistique	statist	statist	100
800	stenographic	sténographique	stenograph	sténograph	90
801	stereographic	stéréographique	stereograph	stéréograph	82
802	stereophonic	stéréophonique	stereophon	stéréophon	80
803	stereoscopic	stéréoscopique	stereoscop	stéréoscop	80
804	stochastic	stochastique	stochast	stochast	100
805	stoic	stoïque	stoic	stoïqu	55
806	strategic	stratégique	strateg	strateg	100
807	stratigraphic	stratigraphique	stratigraph	stratigraph	100
808	stratospheric	stratosphérique	stratospher	stratospher	100
809	stylistic	stylistique	stylist	stylist	100
810	subarctic	subarctique	subarct	subarct	100
811	subatomic	subatomique	subatom	subatom	100
812	subharmonic	sous-harmonique	subharmon	sous-harmon	80
813	subsonic	subsonique	subson	subson	100
814	sulphuric	sulfurique	sulphur	sulfur	77
815	supersonic	supersonique	superson	superson	100
816	surrealistic	surréaliste	surrealist	surréal	71
817	sycophantic	flagorneur	sycophant	flagorneur	21
818	syllabic	syllabique	syllab	syllab	100
819	syllogistic	syllogistique	syllogist	syllogist	100
820	symbiotic	symbiotique	symbiot	symbiot	100
821	symbolic	symbolique	symbol	symbol	100
822	symmetric	symétrique	symmetr	symetr	92
823	sympathetic	sympathique	sympathet	sympath	88
824	symphonic	symphonique	symphon	symphon	100
825	symptomatic	symptomatique	symptomat	symptomat	100
826	synaptic	synaptique	synapt	synapt	100
827	sync	synchroniser	sync	synchronis	57
828	synchronic	synchronisé	synchron	synchronis	89
829	syncretic	syncrétique	syncret	syncret	100
830	synergistic	synergique	synergist	synerg	80
831	synodic	synodique	synod	synod	100
832	synonymic	synonymique	synonym	synonym	100
833	synoptic	synoptique	synopt	synopt	100
834	syntactic	syntaxique	syntact	syntax	77
835	syntagmatic	syntagmatique	syntagmat	syntagmat	100
836	synthetic	synthétique	synthet	synthet	100
837	syphilitic	syphilitique	syphilit	syphilit	100
838	systematic	systématique	systemat	systémat	88
839	systemic	systémique	system	system	100
840	systolic	systolique	systol	systol	100
841	tactic	tactique	tactic	tactiqu	77
842	talc	talc	talc	talc	100
843	tannic	tannique	tannic	tanniqu	77
844	tarmac	macadam	tarmac	macadam	46
845	tartaric	tartrique	tartar	tartriqu	71
846	taxonomic	taxinomique	taxonom	taxinom	86
847	technocratic	technocratique	technocrat	technocrat	100
848	technophobic	technophobe	technophob	technophob	100
849	tectonic	tectonique	tecton	tecton	100
850	telegraphic	télégraphique	telegraph	télégraph	78
851	telepathic	télépathique	telepath	télépath	75
852	telephonic	téléphonique	telephon	téléphon	75
853	telescopic	télescopique	telescop	télescop	88
854	terrific	terrifiant	terrif	terrifi	92
855	theistic	théiste	theistic	théist	71
856	thematic	thématique	themat	thémat	83
857	theoretic	théorique	theoret	théoriqu	53
858	therapeutic	thérapeutique	therapeut	thérapeut	89
859	thermodynamic	thermodynamique	thermodynam	thermodynam	100
860	thermoelectric	thermoélectrique	thermoelectr	thermoélectr	92
861	thermoplastic	thermoplastique	thermoplast	thermoplast	100
862	thermostatic	thermostatique	thermostat	thermostat	100
863	thoracic	thoracique	thorac	thorac	100
864	tic	tic	tic	tic	100
865	titanic	titanesque	titan	titanesqu	71
866	tokenistic	symbolique	tokenist	symbol	14
867	tonic	Tonique	tonic	toniqu	73
868	topic	sujet	topic	sujet	20
869	topographic	topographique	topograph	topograph	100
870	totemic	totémique	totem	totem	100
871	touristic	touristique	tourist	tourist	100
872	toxic	toxique	toxic	toxiqu	73
873	traffic	circulation	traffic	circul	31
874	tragic	tragique	tragic	tragiqu	77
875	transatlantic	transatlantique	transatlant	transatlant	100
876	transonic	transonique	transon	transon	100
877	traumatic	traumatique	traumat	traumat	100
878	triadic	triadique	triadic	triadiqu	80
879	triatomic	triatomique	triatom	triatom	100
880	trigonometric	trigonométrique	trigonometr	trigonometr	100
881	tropic	tropique	tropic	tropiqu	77
882	tropospheric	troposphérique	tropospher	tropospher	100
883	tunic	tunique	tunic	tuniqu	73
884	turmeric	Safran des Indes	turmer	safran des ind	20
885	typographic	typographique	typograph	typograph	100
886	tyrannic	tyrannique	tyrann	tyrann	100
887	ultrasonic	ultrasonique	ultrason	ultrason	100
888	unaesthetic	inesthétique	unaesthet	inesthet	82
889	unapologetic	sans s'excuser	unapologet	sans s'excus	9
890	uncharacteristic	inhabituel	uncharacterist	inhabituel	42
891	uncharismatic	non charismatique	uncharismat	non charismat	83
892	undemocratic	antidémocratique	undemocrat	antidémocrat	73
893	undiplomatic	peu diplomatique	undiplomat	peu diplomat	82
894	uneconomic	non économique	uneconom	non économ	67
895	unenthusiastic	peu enthousiaste	unenthusiast	peu enthousiast	81
896	unergonomic	non ergonomique	unergonom	non ergonom	80
897	unheroic	non héroïque	unhero	non héroïqu	47
898	unhygienic	non hygiénique	unhygien	non hygien	78
899	unmnemonic	démnémonique	unmnemon	démnémon	62
900	unpatriotic	antipatriotique	unpatriot	antipatriot	80
901	unproblematic	sans problème	unproblemat	sans problem	70
902	unrealistic	irréaliste	unrealist	irréal	40
903	unromantic	peu romantique	unromant	peu romant	78
904	unscientific	peu scientifique	unscientif	peu scientif	82
905	unspecific	non spécifique	unspecif	non spécif	67
906	unsympathetic	antipathique	unsympathet	antipath	53
907	unsystematic	peu systématique	unsystemat	peu systémat	73
908	videodisc	vidéodisque	videodisc	vidéodisqu	74
909	virtuosic	virtuose	virtuos	virtuos	100
910	vitriolic	vitriolique	vitriol	vitriol	100
911	volcanic	volcanique	volcan	volcan	100
912	volumetric	volumétrique	volumetr	volumetr	100
913	voyeuristic	voyeuriste	voyeurist	voyeur	80
914	xenophobic	xénophobe	xenophob	xénophob	88
915	zinc	zinc	zinc	zinc	100
