	ENG_a	FR_a	eng_stem	fr_stem	ratio_similarity
660	ultra	ultra	ultra	ultra	100
661	umbra	ombre	umbra	ombre	60
662	umbrella	parapluie	umbrella	paraplui	12
663	undersea	sous-marin	undersea	sous-marin	22
664	urea	urée	urea	uré	57
665	urethra	urètre	urethra	uretr	83
666	urticaria	urticaire	urticaria	urticair	82
667	utopia	utopie	utopia	utop	80
668	uvula	luette	uvula	luet	22
669	vacua	vacua	vacua	vacu	89
670	valhalla	Valhalla	valhalla	valhall	93
671	valuta	valuta	valuta	valut	91
672	vanilla	vanille	vanilla	vanill	92
673	vendetta	vengeance	vendetta	vengeanc	62
674	veranda	véranda	veranda	vérand	77
675	verona	Vérone	verona	véron	73
676	vertebra	vertèbre	vertebra	vertebr	93
677	via	via	via	vi	80
678	victoria	victoria	victoria	victori	93
679	vienna	Vienne	vienna	vien	80
680	villa	villa	villa	vill	89
681	viola	alto	viola	alto	22
682	virginia	Virginie	virginia	virgin	86
683	visa	visa	visa	vis	86
684	vista	vue	vista	vu	29
685	viva	viva	viva	viv	86
686	vodka	Vodka	vodka	vodk	89
687	volga	volga	volga	volg	89
688	vulva	vulve	vulva	vulv	89
689	whoa	whoa	whoa	who	86
690	xenophobia	xénophobie	xenophobia	xénophob	78
691	xhosa	Xhosa	xhosa	xhos	89
692	yea	Ouais	yea	ouais	25
693	yoga	yoga	yoga	yog	86
694	zambia	Zambie	zambia	zamb	80
695	zebra	zèbre	zebra	zebr	89
696	zeta	zêta	zeta	zêt	57
