	ENG_tion	FR_tion	eng_stem	fr_stem	ratio_similarity
795	memorisation	mémorisation	memoris	mémoris	86
796	menstruation	menstruation	menstruat	menstruat	100
797	mention	mention	mention	mention	100
800	migration	migration	migrat	migrat	100
801	militarisation	militarisation	militaris	militaris	100
802	mineralisation	minéralisation	mineralis	minéralis	89
803	miniaturisation	miniaturisation	miniaturis	miniaturis	100
804	minimisation	minimisation	minimis	minimis	100
805	ministration	administration	ministr	administr	88
811	misconfiguration	mauvaise configuration	misconfigur	mauvaise configur	79
812	misdirection	mauvaise direction	misdirect	mauvaise direct	75
814	misinformation	désinformation	misinform	désinform	78
821	mobilisation	la mobilisation	mobilis	la mobilis	82
822	moderation	modération	moder	moder	100
823	modernisation	modernisation	modernis	modernis	100
824	modification	modification	modif	modif	100
825	modularisation	modularisation	modularis	modularis	100
826	modulation	modulation	modul	modul	100
828	monition	monition	monit	monit	100
829	monopolisation	monopolisation	monopolis	monopolis	100
830	mortification	mortification	mortif	mortif	100
832	motivation	motivation	motiv	motiv	100
833	multifunction	multifonction	multifunct	multifonct	90
834	multiplication	multiplication	multipl	multipl	100
835	mummification	momification	mummif	momif	73
836	munition	munition	munit	munit	100
837	mutation	mutation	mutat	mutat	100
838	mutilation	mutilation	mutil	mutil	100
839	mystification	mystification	mystif	mystif	100
840	narration	narration	narrat	narrat	100
841	nation	nation	nation	nation	100
842	nationalisation	nationalisation	nationalis	nationalis	100
843	naturalisation	naturalisation	naturalis	naturalis	100
844	navigation	la navigation	navig	la navig	77
845	negation	négation	negat	négat	80
847	neutralisation	neutralisation	neutralis	neutralis	100
848	nomination	nomination	nomin	nomin	100
849	nonintervention	non-intervention	nonintervent	non-intervent	96
851	normalisation	normalisation	normalis	normalis	100
852	notation	notation	notat	notat	100
853	notification	notification	notif	notif	100
854	notion	notion	notion	notion	100
856	nutation	nutation	nutat	nutat	100
857	nutrition	nutrition	nutrit	nutrit	100
859	objection	objection	object	object	100
860	obligation	obligation	oblig	oblig	100
861	obliteration	oblitération	obliter	obliter	100
862	obscuration	obscurcissement	obscur	obscurc	92
863	observation	observation	observ	observ	100
864	obstruction	obstruction	obstruct	obstruct	100
865	occupation	Occupation	occup	occup	100
866	operation	opération	oper	oper	100
867	opposition	opposition	opposit	opposit	100
868	optimisation	optimisation	optimis	optimis	100
869	option	option	option	option	100
871	orchestration	orchestration	orchestr	orchestr	100
872	ordination	ordination	ordin	ordin	100
873	organisation	organisation	organis	organis	100
874	orientation	orientation	orient	orient	100
876	ornamentation	ornementation	ornament	ornement	88
877	oscillation	oscillation	oscil	oscill	91
878	ossification	ossification	ossif	ossif	100
879	ostentation	ostentation	ostent	ostent	100
880	outstation	outstation	outstat	outstat	100
881	ovation	ovation	ovat	ovat	100
883	overestimation	surestimation	overestim	surestim	71
884	overpopulation	surpopulation	overpopul	surpopul	71
885	overproduction	surproduction	overproduct	surproduct	76
888	ovulation	ovulation	ovul	ovul	100
889	oxidation	oxydation	oxid	oxyd	75
891	oxygenation	oxygénation	oxygen	oxygen	100
892	pacification	pacification	pacif	pacif	100
893	pagination	pagination	pagin	pagin	100
894	palpitation	palpitation	palpit	palpit	100
896	participation	participation	particip	particip	100
898	pasteurisation	pasteurisation	pasteuris	pasteuris	100
899	patination	patination	patin	patin	100
900	patronisation	patronisation	patronis	patronis	100
902	penalisation	pénalisation	penalis	pénalis	86
903	penetration	pénétration	penetr	pénetr	83
904	perception	la perception	percept	la percept	82
905	percolation	percolation	percol	percol	100
906	perdition	perdition	perdit	perdit	100
907	perfection	la perfection	perfect	la perfect	82
908	perforation	perforation	perfor	perfor	100
910	permutation	permutation	permut	permut	100
912	perpetration	perpétration	perpetr	perpetr	100
913	perpetuation	perpétuation	perpetu	perpétu	86
914	persecution	persécution	persecut	persécu	80
915	personalisation	personnalisation	personalis	personnalis	95
916	personification	personnification	personif	personnif	94
918	perturbation	perturbation	perturb	perturb	100
919	petition	pétition	petit	pétit	80
920	petrification	pétrification	petrif	pétrif	83
921	pigmentation	pigmentation	pigment	pigment	100
922	plantation	plantation	plantat	plantat	100
923	pluralisation	pluralisation	pluralis	pluralis	100
924	polarisation	polarisation	polaris	polaris	100
925	politicisation	politisation	politicis	politis	88
926	pollination	pollinisation	pollin	pollinis	86
927	pollution	la pollution	pollut	la pollu	71
928	polymerisation	polymérisation	polymeris	polyméris	89
929	pontification	pontification	pontif	pontif	100
930	popularisation	vulgarisation	popularis	vulgaris	71
931	population	population	popul	popul	100
932	portion	portion	portion	portion	100
933	position	positionner	posit	position	77
934	postulation	postulation	postul	postul	100
935	potion	potion	potion	potion	100
936	precaution	précaution	precaut	précaut	86
937	precipitation	précipitation	precipit	précipit	88
939	preconception	préconception	preconcept	préconcept	90
941	predation	prédation	predat	prédat	83
942	predestination	prédestination	predestin	prédestin	89
943	predetermination	prédétermination	predetermin	prédétermin	82
944	prediction	prédiction	predict	prédict	86
945	predilection	prédilection	predilect	prédilect	89
946	predisposition	prédisposition	predisposit	prédisposit	91
947	prefabrication	préfabrication	prefabr	préfabr	86
948	premeditation	préméditation	premedit	prémédit	75
949	premonition	prémonition	premonit	prémonit	88
950	preoccupation	préoccupation	preoccup	préoccup	88
951	preparation	préparation	prepar	prépar	83
952	preposition	préposition	preposit	préposit	88
954	presentation	présentation	present	présent	86
955	preservation	préservation	preserv	préserv	86
956	prestidigitation	prestidigitation	prestidigit	prestidigit	100
957	presumption	présomption	presumpt	présompt	75
958	presupposition	présupposition	presupposit	présupposit	91
960	prevention	la prévention	prevent	la prévent	71
961	prioritisation	priorisation	prioritis	prioris	88
962	privation	privation	privat	privat	100
963	privatisation	privatisation	privatis	privatis	100
964	probation	probation	probat	probat	100
965	proclamation	proclamation	proclam	proclam	100
966	procrastination	procrastination	procrastin	procrastin	100
967	procreation	procréation	procreat	procréat	88
968	production	production	product	product	100
969	profanation	profanation	profan	profan	100
970	professionalisation	professionnalisation	professionalis	professionnalis	97
971	prognostication	pronostic	prognost	pronostic	82
973	projection	projection	project	project	100
974	proletarianisation	prolétarisation	proletarianis	prolétaris	78
975	proliferation	prolifération	prolifer	prolifer	100
976	prolongation	prolongement	prolong	prolong	100
977	promotion	promotion	promot	promot	100
978	promulgation	promulgation	promulg	promulg	100
979	pronunciation	prononciation	pronunci	prononci	88
980	propagation	propagation	propag	propag	100
981	propitiation	propitiation	propiti	propiti	100
982	proportion	proportion	proport	proport	100
983	proposition	proposition	proposit	proposit	100
984	proscription	proscription	proscript	proscript	100
986	prostitution	la prostitution	prostitut	la prostitu	80
987	prostration	prostration	prostrat	prostrat	100
988	protection	protection	protect	protect	100
989	protestation	protestation	protest	protest	100
990	provocation	provocation	provoc	provoc	100
991	publication	publication	public	publiqu	77
992	pulsation	pulsation	pulsat	pulsat	100
993	pulverisation	pulvérisation	pulveris	pulvéris	88
994	punctuation	ponctuation	punctuat	ponctuat	88
995	purification	purification	purif	purif	100
996	putrefaction	putréfaction	putrefact	putréfact	89
997	qualification	qualification	qualif	qualif	100
998	quantification	quantification	quantif	quantif	100
999	quantisation	quantification	quantis	quantif	86
1000	question	question	question	question	100
1002	radiation	radiation	radiat	radiat	100
1003	ramification	ramification	ramif	ramif	100
1004	randomisation	randomisation	randomis	randomis	100
1005	rarefaction	raréfaction	rarefact	raréfact	88
1006	ratification	ratification	ratif	ratif	100
1007	ratiocination	ratiocination	ratiocin	ratiocin	100
1008	ration	ration	ration	ration	100
1009	rationalisation	rationalisation	rationalis	rationalis	100
1010	reabsorption	réabsorption	reabsorpt	réabsorpt	89
1011	reacquisition	réacquisition	reacquisit	réacquisit	90
1012	reaction	réaction	reaction	réaction	88
1013	reactivation	réactivation	reactiv	réactiv	86
1014	reaffirmation	réaffirmation	reaffirm	réaffirm	88
1019	recalculation	recalcul	recalcul	recalcul	100
1020	recalibration	recalibrage	recalibr	recalibrag	89
1022	recapitalisation	recapitalisation	recapitalis	recapitalis	100
1023	recapitulation	récapitulation	recapitul	récapitul	89
1025	reciprocation	réciprocité	reciproc	réciproc	88
1026	recirculation	recirculation	recircul	recircul	100
1027	recitation	récitation	recit	récit	80
1028	reclamation	réclamation	reclam	réclam	83
1029	reclassification	reclassement	reclassif	reclass	88
1032	recombination	recombinaison	recombin	recombinaison	76
1033	recommendation	recommandation	recommend	recommand	89
1034	recompilation	recompilation	recompil	recompil	100
1035	reconciliation	réconciliation	reconcili	réconcili	89
1036	reconfiguration	reconfiguration	reconfigur	reconfigur	100
1039	reconstitution	reconstitution	reconstitut	reconstitu	95
1040	reconstruction	reconstruction	reconstruct	reconstruct	100
1042	recrimination	récrimination	recrimin	récrimin	88
1043	recrystallisation	recristallisation	recrystallis	recristallis	92
1044	rectification	rectification	rectif	rectif	100
1045	recuperation	récupération	recuper	récuper	86
1046	redaction	rédaction	redact	rédact	83
1047	redeclaration	redéclaration	redeclar	redéclar	88
1048	redecoration	redécoration	redecor	redécor	86
1050	redefinition	redéfinition	redefinit	redéfinit	89
1052	redeposition	redéposition	redeposit	redéposit	89
1053	redirection	redirection	redirect	redirect	100
1054	redistribution	redistribution	redistribut	redistribu	95
1055	reduction	réduction	reduct	réduct	83
1059	reformation	réformation	reform	réform	83
1060	reformulation	reformulation	reformul	reformul	100
1061	refraction	réfraction	refract	réfract	86
1062	refrigeration	réfrigération	refriger	réfriger	88
1063	refutation	réfutation	refut	réfut	80
1064	regeneration	régénération	regener	régéner	71
1065	regimentation	réglementation	regiment	réglement	71
1066	regionalisation	régionalisation	regionalis	régionalis	90
1067	registration	enregistrement	registr	enregistr	88
1068	regularisation	régularisation	regularis	régularis	89
1069	regulation	régulation	regul	régul	80
1070	regurgitation	régurgitation	regurgit	régurgit	88
1071	rehabilitation	réhabilitation	rehabilit	réhabilit	89
1073	reimplementation	réimplémentation	reimplement	réimplément	82
1074	reincarnation	réincarnation	reincarn	réincarn	88
1075	reinfection	réinfection	reinfect	réinfect	88
1076	reinitialisation	réinitialisation	reinitialis	réinitialis	91
1077	reintegration	réintégration	reintegr	réintegr	88
1078	reinterpretation	réinterprétation	reinterpret	réinterpret	91
1079	reintroduction	réintroduction	reintroduct	réintroduct	91
1080	reinvention	réinvention	reinvent	réinvent	88
1082	reiteration	réitération	reiter	réiter	83
1083	rejection	rejet	reject	rejet	91
1085	relation	relation	relat	relat	100
1086	relaxation	relaxation	relax	relax	100
1087	relegation	relégation	releg	releg	100
1089	remonstration	remontrance	remonstr	remontr	93
1090	remuneration	rémunération	remuner	rémuner	86
1092	renegotiation	renégociation	renegoti	renégoci	75
1093	renormalisation	renormalisation	renormalis	renormalis	100
1094	renovation	rénovation	renov	rénov	80
1095	renunciation	renonciation	renunci	renonci	86
1096	reoccupation	réoccupation	reoccup	réoccup	86
1097	reorganisation	réorganisation	reorganis	réorganis	89
1098	reorientation	réorientation	reorient	réorient	88
1099	reparation	réparation	repar	répar	80
1100	repartition	répartition	repartit	répartit	88
1101	repatriation	rapatriement	repatri	rapatri	86
1102	repetition	répétition	repetit	répétit	71
1104	reposition	repositionner	reposit	reposition	82
1105	representation	représentation	represent	représent	89
1106	reproduction	la reproduction	reproduct	la reproduct	86
1107	republication	republication	republ	republ	100
1108	repudiation	répudiation	repudi	répudi	83
1109	reputation	réputation	reput	réput	80
1110	requisition	réquisition	requisit	réquisit	88
1112	reselection	resélection	reselect	resélect	88
1113	reservation	réservation	reserv	réserv	83
1115	resolution	résolution	resolut	résolu	77
1116	respiration	respiration	respir	respir	100
1117	restitution	restitution	restitut	restitu	93
1118	restoration	restauration	restor	restaur	77
1119	restriction	restriction	restrict	restrict	100
1121	resurrection	résurrection	resurrect	résurrect	89
1124	retardation	retardement	retard	retard	100
1125	retention	rétention	retent	rétent	83
1126	reticulation	réticulation	reticul	réticul	86
1127	retraction	rétraction	retract	rétract	86
1129	retrospection	rétrospection	retrospect	rétrospect	90
1130	reunification	réunification	reunif	réunif	83
1131	revaluation	réévaluation	revalu	réévalu	77
1132	revelation	révélation	revel	rével	80
1133	reverberation	réverbération	reverber	réverber	88
1134	revitalisation	revitalisation	revitalis	revitalis	100
1135	revocation	révocation	revoc	révoc	80
1136	revolution	révolution	revolut	révolu	77
1137	rotation	rotation	rotat	rotat	100
1138	ruction	ruction	ruction	ruction	100
1139	ruination	ruine	ruinat	ruin	80
1140	rumination	rumination	rumin	rumin	100
1141	salivation	salivation	saliv	saliv	100
1142	salutation	salutation	salut	salut	100
1143	salvation	salut	salvat	salut	73
1144	sanctification	sanctification	sanctif	sanctif	100
1145	sanction	sanction	sanction	sanction	100
1147	satiation	satiété	satiat	satiet	83
1148	satisfaction	la satisfaction	satisfact	la satisfact	86
1149	saturation	saturation	satur	satur	100
1150	scintillation	scintillation	scintil	scintill	93
1151	secretion	sécrétion	secret	sécret	83
1152	section	section	section	section	100
1153	secularisation	sécularisation	secularis	sécularis	89
1154	sedation	sédation	sedat	sédat	80
1155	sedimentation	sédimentation	sediment	sédiment	88
1156	sedition	sédition	sedit	sédit	80
1157	seduction	séduction	seduct	séduct	83
1158	segmentation	segmentation	segment	segment	100
1159	segregation	ségrégation	segreg	ségreg	83
1160	selection	sélection	select	sélect	83
1162	sensation	sensation	sensat	sensat	100
1163	sensitisation	sensibilisation	sensitis	sensibilis	78
1164	separation	séparation	separ	sépar	80
1165	sequestration	séquestration	sequestr	séquestr	88
1166	serialisation	sérialisation	serialis	sérialis	88
1167	signification	signification	signif	signif	100
1168	simplification	simplification	simplif	simplif	100
1169	simulation	simulation	simul	simul	100
1170	singularisation	singularisation	singularis	singularis	100
1171	situation	situation	situat	situat	100
1172	socialisation	socialisation	socialis	socialis	100
1173	solicitation	sollicitation	solicit	sollicit	93
1174	solidification	solidification	solidif	solidif	100
1175	solution	Solution	solut	solut	100
1176	sophistication	sophistication	sophist	sophist	100
1177	specialisation	spécialisation	specialis	spécialis	89
1178	speciation	spéciation	speciat	spéciat	86
1179	specification	spécification	specif	spécif	83
1180	speculation	spéculation	specul	spécul	83
1181	stabilisation	stabilisation	stabilis	stabilis	100
1182	stagflation	stagflation	stagflat	stagflat	100
1183	stagnation	stagnation	stagnat	stagnat	100
1184	standardisation	standardisation	standardis	standardis	100
1187	sterilisation	stérilisation	sterilis	stérilis	88
1188	stigmatisation	stigmatisation	stigmatis	stigmatis	100
1189	stimulation	stimulation	stimul	stimul	100
1190	stipulation	stipulation	stipul	stipul	100
1191	strangulation	étranglement	strangul	étrangl	80
1192	stratification	stratification	stratif	stratif	100
1193	striation	striation	striation	striation	100
1194	stupefaction	stupéfaction	stupefact	stupéfact	89
1195	stylisation	stylisation	stylis	stylis	100
1196	subduction	subduction	subduct	subduct	100
1197	subjection	sujétion	subject	sujet	83
1199	sublimation	sublimation	sublim	sublim	100
1200	subordination	subordination	subordin	subordin	100
1202	subsection	sous-section	subsect	sous-sect	75
1204	substation	sous-station	substat	sous-stat	75
1205	substitution	substitution	substitut	substitu	94
1206	subtraction	soustraction	subtract	soustract	82
1207	suburbanisation	suburbanisation	suburbanis	suburbanis	100
1208	subvention	subvention	subvent	subvent	100
1209	suction	succion	suction	succion	86
1210	suffocation	suffocation	suffoc	suffoc	100
1211	suggestion	suggestion	suggest	suggest	100
1214	superimposition	superposition	superimposit	superposit	91
1215	superposition	superposition	superposit	superposit	100
1216	supersaturation	sursaturation	supersatur	sursatur	89
1217	superstition	superstition	superstit	superstit	100
1218	supplementation	supplémentation	supplement	supplément	90
1219	supplication	supplication	supplic	suppliqu	80
1220	supposition	supposition	supposit	supposit	100
1221	symbolisation	symbolisation	symbolis	symbolis	100
1222	symmetrisation	symétrisation	symmetris	symétris	82
1223	synchronisation	synchronisation	synchronis	synchronis	100
1224	syncopation	syncope	syncop	syncop	100
1225	syndication	syndication	syndic	syndiqu	77
1226	systematisation	systématisation	systematis	systématis	90
1227	tabulation	tabulation	tabul	tabul	100
1229	telecommunication	télécommunication	telecommun	télécommun	80
1230	temptation	tentation	temptat	tentat	77
1232	tessellation	tessellation	tessel	tessel	100
1233	theorisation	théorisation	theoris	théoris	86
1234	titillation	titillation	titil	titill	91
1235	titration	titrage	titrat	titrag	83
1236	toleration	tolérance	toler	toler	100
1237	traction	traction	traction	traction	100
1238	tradition	tradition	tradit	tradit	100
1239	transaction	transaction	transact	transact	100
1240	transcription	transcription	transcript	transcript	100
1241	transduction	transduction	transduct	transduct	100
1242	transection	transection	transect	transect	100
1243	transfiguration	transfiguration	transfigur	transfigur	100
1244	transformation	transformation	transform	transform	100
1245	transition	transition	transit	transit	100
1247	transliteration	translitération	transliter	transliter	100
1248	transmigration	transmigration	transmigr	transmigr	100
1249	transmogrification	transmogrification	transmogrif	transmogrif	100
1250	transmutation	transmutation	transmut	transmut	100
1251	transpiration	transpiration	transpir	transpir	100
1252	transplantation	transplantation	transplant	transplant	100
1253	transportation	transport	transport	transport	100
1254	transposition	transposition	transposit	transposit	100
1256	triangulation	triangulation	triangul	triangul	100
1257	tribulation	tribulations	tribul	tribul	100
1258	triplication	triplication	triplic	tripliqu	80
1259	trisection	trisection	trisect	trisect	100
1261	truncation	troncature	truncat	troncatur	75
1263	uglification	uglification	uglif	uglif	100
1264	ulceration	ulcération	ulcer	ulcer	100
1265	unction	onction	unction	onction	86
1268	undulation	ondulation	undul	ondul	80
1269	unification	unification	unif	unif	100
1271	unsophistication	insophistication	unsophist	insophist	89
1272	urbanisation	urbanisation	urbanis	urbanis	100
1273	usurpation	usurpation	usurp	usurp	100
1274	utilisation	utilisation	utilis	utilis	100
1275	vacation	vacances	vacat	vacanc	73
1276	vaccination	vaccination	vaccin	vaccin	100
1279	validation	validation	valid	valid	100
1280	valuation	évaluation	valuat	évalu	73
1281	vaporisation	vaporisation	vaporis	vaporis	100
1282	variation	variation	variat	variat	100
1283	vectorisation	vectorisation	vectoris	vectoris	100
1284	vegetation	végétation	veget	véget	80
1285	veneration	vénération	vener	véner	80
1286	ventilation	ventilation	ventil	ventil	100
1287	verification	vérification	verif	vérif	80
1288	versification	versification	versif	versif	100
1289	vexation	vexation	vexat	vexat	100
1290	vibration	vibration	vibrat	vibrat	100
1291	victimisation	victimisation	victimis	victimis	100
1294	violation	violation	violat	violat	100
1295	visitation	visitation	visit	visit	100
1296	visualisation	visualisation	visualis	visualis	100
1297	vituperation	vitupération	vituper	vituper	100
1298	vivisection	vivisection	vivisect	vivisect	100
1299	vocalisation	vocalisation	vocalis	vocalis	100
1300	vocation	vocation	vocat	vocat	100
1301	volition	volition	volit	volit	100
1304	zonation	zonage	zonat	zonag	80
