	ENG_t	FR_t	eng_stem	fr_stem	ratio_similarity
646	containment	endiguement	contain	endigu	31
647	contaminant	contaminant	contamin	contamin	100
648	contempt	mépris	contempt	mepr	33
649	content	teneur	content	teneur	46
650	contentment	contentement	content	content	100
651	contest	concours	contest	concour	43
652	contestant	concurrent	contest	concurrent	47
653	context	le contexte	context	le context	82
654	continent	continent	contin	continent	80
655	contingent	contingent	conting	contingent	82
656	contort	tordre	contort	tordr	50
657	contortionist	contorsionniste	contortionist	contorsion	78
658	contract	Contrat	contract	contrat	93
659	contradict	contredire	contradict	contredir	74
660	contrast	contraste	contrast	contrast	100
661	controvert	controverser	controvert	controvers	90
662	convalescent	convalescent	convalesc	convalescent	86
663	convect	convection	convect	convect	100
664	convenient	pratique	conveni	pratiqu	14
665	convent	couvent	convent	couvent	86
666	conventionalist	conventionnel	conventionalist	conventionnel	79
667	convergent	convergent	converg	convergent	82
668	conversant	au courant	convers	au cour	43
669	conversationalist	causeur	conversationalist	causeur	25
670	convert	convertir	convert	convert	100
671	convict	condamné	convict	condamn	43
672	coolant	liquide de refroidissement	coolant	liquide de refroid	8
673	coolest	le plus cool	coolest	le plus cool	42
674	copilot	copilote	copilot	copilot	100
675	copout	copout	copout	copout	100
676	copycat	imitateur	copycat	imit	18
677	copyist	copiste	copyist	copist	92
678	copyright	droits d'auteur	copyright	droits d'auteur	17
679	corespondent	correspondant	corespond	correspond	95
680	cormorant	cormoran	cormor	cormoran	86
681	cornet	cornet	cornet	cornet	100
682	coronet	couronne	coronet	couron	77
683	corporatist	corporatiste	corporatist	corporat	84
684	corpulent	corpulent	corpul	corpulent	80
685	correct	correct	correct	correct	100
686	correspondent	correspondant	correspond	correspond	100
687	corrupt	corrompu	corrupt	corrompu	67
688	corset	corset	corset	corset	100
689	corslet	corslet	corslet	corslet	100
690	cosiest	plus confortable	cosiest	plus confort	32
691	cosmologist	cosmologiste	cosmologist	cosmolog	84
692	cosmonaut	cosmonaute	cosmonaut	cosmonaut	100
693	cosset	dorloter	cosset	dorlot	33
694	cost	Coût	cost	coût	75
695	costefficient	rentable	costeffici	rentabl	12
696	costliest	le plus cher	costliest	le plus ch	11
697	cot	lit bébé	cot	lit beb	20
698	count	compter	count	compt	60
699	counteract	contrer	counteract	contr	67
700	counterfeit	contrefaire	counterfeit	contrefair	57
701	counterpart	homologue	counterpart	homologu	21
702	counterpoint	contrepoint	counterpoint	contrepoint	87
703	couplet	distique	couplet	distiqu	14
704	court	rechercher	court	recherch	31
705	covalent	covalent	coval	covalent	77
706	covenant	engagement	coven	engag	40
707	coverlet	couverture	coverlet	couvertur	71
708	coversheet	feuille de couverture	coversheet	feuille de couvertur	40
709	covert	secret	covert	secret	50
710	covet	convoiter	covet	convoit	67
711	crackpot	cinglé	crackpot	cingl	15
712	craft	artisanat	craft	artisanat	43
713	craftiest	le plus rusé	craftiest	le plus rus	20
714	crankshaft	vilebrequin	crankshaft	vilebrequin	19
715	cravat	cravate	cravat	cravat	100
716	craziest	le plus fou	craziest	le plus fou	21
717	creakiest	le plus grinçant	creakiest	le plus grinc	9
718	creamiest	le plus crémeux	creamiest	le plus crem	38
719	creationist	créationniste	creationist	création	74
720	credit	crédit	credit	cred	80
721	crept	rampé	crept	ramp	44
722	crescent	croissant	crescent	croiss	43
723	crest	crête	crest	crêt	67
724	cricket	criquet	cricket	criquet	71
725	criminologist	criminologue	criminologist	criminologu	83
726	crispiest	le plus croustillant	crispiest	le plus croustill	31
727	croakiest	croakiest	croakiest	croakiest	100
728	crochet	crochet	crochet	crochet	100
729	croft	petite ferme	croft	petite ferm	12
730	croissant	croissant	croissant	croiss	80
731	croquet	croquet	croquet	croquet	100
732	crotchet	noire	crotchet	noir	17
733	crudest	le plus grossier	crudest	le plus grossi	19
734	cruelest	le plus cruel	cruelest	le plus cruel	48
735	cruellest	le plus cruel	cruellest	le plus cruel	45
736	crumbliest	crumbliest	crumbliest	crumbliest	100
737	crumpet	crumpet	crumpet	crumpet	100
738	crunchiest	le plus croustillant	crunchiest	le plus croustill	37
739	crust	croûte	crust	croût	60
740	crustiest	le plus croustillant	crustiest	le plus croustill	46
741	cryostat	cryostat	cryostat	cryostat	100
742	crypt	crypte	crypt	crypt	100
743	cryptanalyst	cryptanalyste	cryptanalyst	cryptanalyst	100
744	cubist	cubiste	cubist	cubist	100
745	cubit	coudée	cubit	coud	44
746	cuddliest	le plus câlin	cuddliest	le plus câlin	27
747	culprit	coupable	culprit	coupabl	43
748	cult	culte	cult	cult	100
749	culvert	ponceau	culvert	ponceau	29
750	curliest	le plus curieux	curliest	le plus curi	40
751	currant	groseille	currant	groseil	14
752	current	actuel	current	actuel	46
753	curt	sec	curt	sec	29
754	curtailment	réduction	curtail	réduct	31
755	cut	Couper	cut	coup	57
756	cutest	le plus mignon	cutest	le plus mignon	20
757	cutlet	escalope	cutlet	escalop	31
758	cutout	découper	cutout	découp	50
759	cutthroat	fardée	cutthroat	fard	15
760	cyclist	cycliste	cyclist	cyclist	100
761	cygnet	Jeune Cygne	cygnet	jeune cygn	50
762	cypriot	chypriote	cypriot	chypriot	93
763	cyst	kyste	cyst	kyst	75
764	daft	idiot	daft	idiot	44
765	daftest	le plus stupide	daftest	le plus stupid	29
766	daintiest	le plus délicat	daintiest	le plus délicat	25
767	dampest	le plus humide	dampest	le plus humid	10
768	dankest	super	dankest	sup	20
769	darkest	le plus sombre	darkest	le plus sombr	10
770	dart	dard	dart	dard	75
771	daunt	décourager	daunt	décourag	31
772	daylight	lumière du jour	daylight	lumière du jour	9
773	deadbeat	deadbeat	deadbeat	deadbeat	100
774	deadliest	le plus meurtrier	deadliest	le plus meurtri	25
775	deafest	sourd	deafest	sourd	17
776	dealt	traité	dealt	trait	40
777	dearest	très chère	dearest	très cher	25
778	debasement	avilissement	debas	avil	22
779	debit	débit	debit	deb	75
780	debt	dette	debt	det	86
781	debut	début	debut	début	80
782	debutant	débutant	debut	début	80
783	decadent	décadent	decad	décadent	62
784	decant	décanter	decant	décant	83
785	deceit	tromperie	deceit	tromper	15
786	decent	décent	decent	décent	83
787	decipherment	déchiffrement	decipher	déchiffr	50
788	deconstruct	déconstruire	deconstruct	déconstruir	73
789	deconstructionist	déconstructionniste	deconstructionist	déconstruction	84
790	decrement	décrémenter	decrement	décrément	78
791	decrepit	délabré	decrepit	délabr	29
792	decrypt	décrypter	decrypt	décrypt	86
793	deduct	déduire	deduct	déduir	50
794	deepest	le plus profond	deepest	le plus profond	9
795	default	défaut	default	défaut	77
796	defeat	défaite	defeat	défait	67
797	defeatist	défaitiste	defeatist	défait	53
798	defect	défaut	defect	défaut	50
799	defendant	défendeur	defend	défendeur	67
800	deferment	ajournement	defer	ajourn	18
801	defiant	de défi	defiant	de def	46
802	deficient	déficient	defici	déficient	67
803	deficit	déficit	deficit	défic	67
804	defilement	souillure	defil	souillur	31
805	deflect	dévier	deflect	dévi	18
806	defrost	dégivrer	defrost	dégivr	31
807	deft	habile	deft	habil	0
808	defunct	défunt	defunct	défunt	77
809	deist	Déiste	deist	déist	80
810	deject	se laisser abattre	deject	se laisser abattr	26
811	delict	délit	delict	del	67
812	delight	plaisir	delight	plais	33
813	delimit	délimiter	delimit	délimit	86
814	delinquent	délinquant	delinqu	délinqu	86
815	deliquescent	déliquescent	deliquesc	déliquescent	76
816	dement	dément	dement	dément	83
817	demerit	démérite	demerit	démérit	71
818	demist	désembuer	demist	désembu	46
819	democrat	démocrate	democrat	démocrat	88
820	demount	démonter	demount	démont	77
821	denouement	dénouement	denouement	dénou	53
822	densest	le plus dense	densest	le plus dens	42
823	dent	bosse	dent	boss	0
824	dentist	dentiste	dentist	dentist	100
825	deodorant	déodorant	deodor	déodor	83
826	depart	partir	depart	part	80
827	department	département	depart	départ	83
828	dependant	dépendant	depend	dépend	83
829	dependent	dépendant	depend	dépend	83
830	depict	représenter	depict	représent	40
831	deployment	déploiement	deploy	déploi	67
832	deponent	déposant	depon	dépos	60
833	deport	expulser	deport	expuls	33
834	deportment	conduite	deport	conduit	31
835	deposit	dépôt	deposit	dépôt	50
836	depot	dépôt	depot	dépôt	60
837	depressant	dépresseur	depress	dépresseur	71
838	derailment	déraillement	derail	déraill	77
839	derangement	dérèglement	derang	déregl	50
840	derelict	abandonné	derelict	abandon	13
841	dermatologist	dermatologue	dermatologist	dermatologu	83
842	desalt	dessaler	desalt	dessal	83
843	descant	descant	descant	desc	73
844	descendant	descendant	descend	descend	100
845	descendent	descendant	descend	descend	100
846	descent	descente	descent	descent	100
847	desert	désert	desert	désert	83
848	desist	cesser	desist	cess	60
849	despondent	découragé	despond	décourag	27
850	despot	despote	despot	despot	100
851	dessert	le dessert	dessert	le dessert	82
852	destruct	détruire	destruct	détruir	53
853	detachment	détachement	detach	détach	83
854	detect	détecter	detect	détect	83
855	detent	détente	detent	détent	83
856	detergent	détergent	deterg	détergent	67
857	determinant	déterminant	determin	détermin	88
858	determinist	déterministe	determinist	détermin	74
859	deterrent	dissuasif	deterr	dissuas	15
860	detest	détester	detest	détest	83
861	detract	diminuer	detract	diminu	15
862	detriment	détriment	detriment	detr	62
863	detroit	Detroit	detroit	detroit	100
864	development	développement	develop	développ	80
865	deviant	déviant	deviant	dévi	55
866	devilment	diablerie	devil	diabler	33
867	devout	pieux	devout	pieux	36
868	dialect	dialecte	dialect	dialect	100
869	diarist	chroniqueur	diarist	chroniqueur	22
870	diciest	le plus difficile	diciest	le plus difficil	35
871	didnt	n'a pas	didnt	n'a p	20
872	diet	régime	diet	régim	22
873	different	différent	differ	différent	67
874	difficult	difficile	difficult	difficil	82
875	diffident	timide	diffid	timid	55
876	diffract	diffracter	diffract	diffract	100
877	digest	digérer	digest	diger	73
878	digit	chiffre	digit	chiffr	18
879	diktat	diktat	diktat	diktat	100
880	diligent	diligent	dilig	diligent	77
881	diluent	diluant	diluent	dilu	73
882	dimmest	le plus sombre	dimmest	le plus sombr	10
883	dimwit	bête	dimwit	bêt	22
884	dingiest	terne	dingiest	tern	17
885	dint	à force	dint	à forc	0
886	diplomat	diplomate	diplomat	diplomat	100
887	direct	direct	direct	direct	100
888	direst	le plus dur	direst	le plus dur	24
889	dirt	saleté	dirt	salet	22
890	dirtiest	le plus sale	dirtiest	le plus sal	21
891	disablement	invalidité	disabl	invalid	15
892	disagreement	désaccord	disagr	désaccord	53
893	disappoint	décevoir	disappoint	décevoir	33
894	disappointment	déception	disappoint	décept	38
895	disarmament	désarmement	disarma	désarm	77
896	disbandment	dissolution	disband	dissolu	43
897	disbursement	décaissement	disburs	décaissement	42
898	discant	discant	discant	disc	73
899	discernment	discernement	discern	discern	100
900	discomfit	déconcerter	discomfit	déconcert	44
901	discomfort	malaise	discomfort	malais	25
902	disconcert	déconcerter	disconcert	déconcert	84
903	disconnect	déconnecter	disconnect	déconnect	84
904	discontent	mécontentement	discont	mécontent	50
905	discordant	discordant	discord	discord	100
906	discount	remise	discount	remis	31
907	discouragement	découragement	discourag	décourag	82
908	discredit	discrédit	discredit	discred	88
909	discreet	discret	discreet	discret	93
910	discrepant	discordant	discrep	discord	71
911	discriminant	discriminant	discrimin	discrimin	100
912	disembodiment	désincarnation	disembodi	désincarn	22
913	disembowelment	éventration	disembowel	éventr	12
914	disenchantment	désenchantement	disenchant	désenchant	90
915	disenfranchisement	privation du droit de vote	disenfranchis	privation du droit de vot	16
916	disengagement	désengagement	disengag	désengag	88
917	disestablishment	désétablissement	disestablish	désétabl	60
918	disfigurement	défiguration	disfigur	défigur	80
919	disgruntlement	mécontentement	disgruntl	mécontent	22
920	disgust	dégoûter	disgust	dégoût	46
921	dishonest	malhonnête	dishonest	malhonnêt	44
922	disillusionment	désillusion	disillusion	désillu	67
923	disinfect	désinfecter	disinfect	désinfect	89
924	disinfectant	désinfectant	disinfect	désinfect	89
925	disinherit	déshériter	disinherit	déshérit	67
926	disinterest	désintéressement	disinterest	désintéress	73
927	disinvest	désinvestir	disinvest	désinvest	89
928	disinvestment	désinvestissement	disinvest	désinvest	89
929	disjoint	disjoint	disjoint	disjoint	100
930	disjunct	disjoint	disjunct	disjoint	75
931	dismemberment	démembrement	dismember	démembr	75
932	dismount	démonter	dismount	démont	71
933	disobedient	désobéissant	disobedi	désobéiss	59
934	disorient	désorienter	disori	désorient	67
935	disparagement	dénigrement	disparag	dénigr	43
936	dispersant	dispersant	dispers	dispers	100
937	displacement	déplacement	displac	déplac	77
938	disputant	disputant	disput	disput	100
939	disquiet	inquiétude	disquiet	inquiétud	59
940	disrespect	manque de respect	disrespect	manque de respect	59
941	disrupt	perturber	disrupt	perturb	29
942	dissect	disséquer	dissect	dissequ	71
943	dissent	contestation	dissent	contest	29
944	dissident	dissident	dissid	dissident	80
945	dissonant	dissonant	disson	disson	100
946	distant	loin	distant	loin	36
947	distinct	distinct	distinct	distinct	100
948	distort	fausser	distort	fauss	17
949	distract	distraire	distract	distrair	75
950	distraught	éperdu	distraught	éperdu	25
951	district	quartier	district	quarti	14
952	distrust	méfiance	distrust	méfianc	13
953	divergent	divergent	diverg	divergent	80
954	divert	dérouter	divert	dérout	50
955	divest	dépouiller	divest	dépouill	29
956	divinest	divin	divinest	divin	77
957	divot	divot	divot	divot	100
958	dizziest	le plus vertigineux	dizziest	le plus vertigin	17
959	docket	rôle	docket	rôl	0
960	document	document	document	docu	67
961	doesnt	ne fait pas	doesnt	ne fait p	27
962	dogfight	combat aérien	dogfight	combat aérien	19
963	dogmatist	dogmatique	dogmatist	dogmat	80
964	dolt	balourd	dolt	balourd	18
965	dominant	dominant	domin	domin	100
966	dont	ne pas	dont	ne p	25
967	donut	Donut	donut	donut	100
968	doormat	paillasson	doormat	paillasson	12
969	doorpost	montant de porte	doorpost	montant de port	35
970	dormant	dormant	dormant	dorm	73
971	dot	point	dot	point	50
972	doublet	pourpoint	doublet	pourpoint	38
973	doubt	doute	doubt	dout	89
974	doughnut	Donut	doughnut	donut	77
975	dovecot	pigeonnier	dovecot	pigeonni	13
976	dowdiest	le plus terne	dowdiest	le plus tern	30
977	downbeat	temps fort	downbeat	temps fort	22
978	downcast	abattu	downcast	abattu	29
979	downright	carrément	downright	carr	15
980	draft	Brouillon	draft	brouillon	14
981	dragnet	drague	dragnet	dragu	67
982	dramatist	dramaturge	dramatist	dramaturg	67
983	drat	drat	drat	drat	100
984	draught	Brouillon	draught	brouillon	25
985	draughtiest	le plus courant	draughtiest	le plus cour	9
986	dreadnought	dreadnought	dreadnought	dreadnought	100
987	dreamiest	le plus rêveur	dreamiest	le plus rêveur	17
988	dreamt	rêvé	dreamt	rêv	22
989	dreariest	triste	dreariest	trist	57
990	driest	le plus sec	driest	le plus sec	24
991	drift	dérive	drift	dériv	60
992	drollest	le plus drôle	drollest	le plus drôl	30
993	droopiest	le plus tombant	droopiest	le plus tomb	10
994	droplet	gouttelette	droplet	gouttelet	50
995	dropout	abandonner	dropout	abandon	29
996	drought	la sécheresse	drought	la sécheress	11
997	drowsiest	le plus somnolent	drowsiest	le plus somnolent	23
998	druggist	pharmacien	druggist	pharmacien	22
999	drumbeat	battement de tambour	drumbeat	battement de tambour	21
1000	dualist	dualiste	dualist	dualist	100
1001	duct	canal	duct	canal	22
1002	duellist	duelliste	duellist	duellist	100
1003	duet	duo	duet	duo	57
1004	dugout	pirogue	dugout	pirogu	17
1005	dulcet	dulcet	dulcet	dulcet	100
1006	dullest	le plus terne	dullest	le plus tern	42
1007	dumbest	le plus stupide	dumbest	le plus stupid	29
1008	dust	poussière	dust	poussi	40
1009	dustcart	benne à ordures	dustcart	benne à ordur	29
1010	duvet	couette	duvet	couet	60
1011	dwelt	habité	dwelt	habit	20
1012	dynast	souverain	dynast	souverain	13
1013	eaglet	aiglon	eaglet	aiglon	50
1014	earliest	le plus tôt	earliest	le plus tôt	42
1015	earnest	sérieux	earnest	sérieux	14
1016	earshot	à portée de voix	earshot	à portée de voix	17
1017	easement	servitude	easement	servitud	38
1018	easiest	le plus simple	easiest	le plus simpl	30
1019	east	est	east	est	86
1020	easternmost	le plus à l'est	easternmost	le plus à l'est	23
1021	eat	manger	eat	mang	29
1022	ebullient	exubérant	ebulli	exuber	33
1023	ecologist	écologiste	ecologist	écolog	67
1024	economist	économiste	economist	économ	67
1025	edict	décret	edict	décret	36
1026	edit	Éditer	edit	édit	75
1027	educationalist	éducateur	educationalist	éduc	33
1028	educationist	éducateur	educationist	éduc	38
1029	eeriest	le plus inquiétant	eeriest	le plus inquiet	36
1030	effect	effet	effect	effet	91
1031	efferent	efférent	effer	efférent	62
1032	effervescent	effervescent	effervesc	effervescent	86
1033	efficient	efficace	effici	efficac	77
1034	effluent	effluent	effluent	effluent	100
1035	effort	effort	effort	effort	100
1036	effulgent	rayonnant	effulg	rayon	0
1037	egoist	égoïste	egoist	égoïst	67
1038	egotist	égotiste	egotist	égot	55
1039	egret	aigrette	egret	aigret	73
1040	egypt	Egypte	egypt	egypt	100
1041	eight	huit	eight	huit	44
1042	eject	éjecter	eject	éject	80
1043	eldest	aîné	eldest	aîn	0
1044	elect	élire	elect	élir	22
1045	electroluminescent	électroluminescent	electroluminesc	électroluminescent	85
1046	electromagnet	électro-aimant	electromagnet	électro-aim	58
1047	elegant	élégant	eleg	éleg	75
1048	element	élément	element	élément	71
1049	elephant	l'éléphant	eleph	l'éleph	67
1050	elicit	obtenir	elicit	obten	18
1051	elitist	élitiste	elitist	élit	55
1052	elopement	fugue	elop	fugu	0
1053	eloquent	éloquent	eloqu	éloquent	62
1054	embankment	digue	embank	digu	0
1055	embarrassment	embarras	embarrass	embarr	80
1056	embellishment	embellissement	embellish	embel	71
1057	embezzlement	détournement de fonds	embezzl	détournement de fond	22
1058	embitterment	amertume	embitter	amertum	40
1059	embodiment	incarnation	embodi	incarn	17
1060	emergent	émergent	emerg	émergent	62
1061	emigrant	émigrant	emigr	émigr	80
1062	eminent	éminent	emin	éminent	55
1063	emit	émettre	emit	émettr	40
1064	emollient	émollient	emolli	émollient	67
1065	emolument	émoluments	emolu	émolu	80
1066	empiricist	empiriste	empiricist	empir	67
1067	emplacement	emplacement	emplac	emplac	100
1068	employment	emploi	employ	emploi	83
1069	empowerment	responsabilisation	empower	responsabilis	30
1070	emptiest	le plus vide	emptiest	le plus vid	32
1071	enact	promulguer	enact	promulgu	0
1072	enactment	promulgation	enact	promulg	0
1073	encampment	campement	encamp	camp	80
1074	encashment	encaissement	encash	encaissement	56
1075	enchant	enchanter	enchant	enchant	100
1076	enchantment	enchantement	enchant	enchant	100
1077	encirclement	encerclement	encircl	encercl	86
1078	encouragement	encouragement	encourag	encourag	100
1079	encroachment	empiètement	encroach	empiet	14
1080	encrust	incruster	encrust	incrust	86
1081	encrypt	Crypter	encrypt	crypt	83
1082	endearment	tendresse	endear	tendress	57
1083	endorsement	approbation	endors	approb	17
1084	endowment	donation	endow	donat	40
1085	enfeeblement	affaiblissement	enfeebl	affaibl	43
1086	enforcement	mise en vigueur	enforc	mise en vigueur	29
1087	enfranchisement	affranchissement	enfranchis	affranch	67
1088	engagement	engagement	engag	engag	100
1089	enhancement	renforcement	enhanc	renforc	46
1090	enjoyment	jouissance	enjoy	jouiss	36
1091	enlargement	élargissement	enlarg	élarg	73
1092	enlightenment	éclaircissement	enlighten	éclairc	25
1093	enlist	enrôler	enlist	enrôl	55
1094	enlistment	enrôlement	enlist	enrôl	55
1095	enrichment	enrichissement	enrich	enrich	100
1096	enrolment	inscription	enrol	inscript	31
1097	enslavement	asservissement	enslav	asserv	33
1098	entailment	implication	entail	impliqu	31
1099	entanglement	enchevêtrement	entangl	enchevêtr	38
1100	entertainment	divertissement	entertain	divert	40
1101	enthronement	intronisation	enthron	intronis	67
1102	enthusiast	passionné	enthusiast	passion	24
1103	enticement	séduction	entic	séduct	18
1104	entitlement	droit	entitl	droit	36
1105	entombment	mise au tombeau	entomb	mise au tombeau	48
1106	entomologist	entomologiste	entomologist	entomolog	86
1107	entrainment	entraînement	entrain	entraîn	86
1108	entrant	participant	entrant	particip	13
1109	entrapment	piégeage	entrap	piégeag	31
1110	entreat	supplier	entreat	suppli	0
1111	entrenchment	retranchement	entrench	retranch	75
1112	entrust	confier	entrust	confi	17
1113	environment	environnement	environ	environ	100
1114	environmentalist	écologiste	environmentalist	écolog	18
1115	epidemiologist	épidémiologiste	epidemiologist	épidémiolog	72
1116	epithet	épithète	epithet	épithet	86
1117	equidistant	équidistant	equidist	équidist	88
1118	equipment	équipement	equip	équip	80
1119	equivalent	équivalent	equival	équivalent	71
1120	erect	ériger	erect	érig	22
1121	ergot	ergot	ergot	ergot	100
1122	errant	errant	errant	errant	100
1123	erst	erst	erst	erst	100
1124	erupt	éclater	erupt	éclat	20
1125	escapement	échappement	escap	échapp	55
1126	escapist	échapper	escapist	échapp	43
1127	escarpment	escarpement	escarp	escarp	100
1128	escort	escorte	escort	escort	100
1129	esprit	esprit	esprit	esprit	100
1130	essayist	essayiste	essayist	essai	77
1131	essentialist	essentialiste	essentialist	essential	86
1132	est	est	est	est	100
1133	establishment	établissement	establish	établ	57
1134	estrangement	éloignement	estrang	éloign	15
1135	ethicist	éthicien	ethicist	éthicien	62
1136	ethologist	éthologue	ethologist	éthologu	67
1137	etymologist	étymologiste	etymologist	étymolog	74
1138	evanescent	évanescent	evanesc	évanescent	71
1139	evangelist	évangéliste	evangelist	évangel	71
1140	event	un événement	event	un éven	50
1141	everest	Everest	everest	everest	100
1142	everpresent	toujours présent	everpres	toujours présent	33
1143	evict	expulser	evict	expuls	18
1144	evident	évident	evid	évident	55
1145	evolutionist	évolutionniste	evolutionist	évolution	76
1146	exact	exact	exact	exact	100
1147	exalt	exalter	exalt	exalt	100
1148	excellent	excellent	excel	excellent	71
1149	except	sauf	except	sauf	0
1150	excerpt	extrait	excerpt	extrait	57
1151	excitement	excitation	excit	excit	100
1152	exclusivist	exclusiviste	exclusivist	exclusiv	84
1153	exempt	exempter	exempt	exempt	100
1154	exert	exercer	exert	exerc	80
1155	exeunt	sortir	exeunt	sort	20
1156	exhaust	échappement	exhaust	échapp	31
1157	exhibit	exposition	exhibit	exposit	57
1158	exhibitionist	exhibitionniste	exhibitionist	exhibition	87
1159	exhort	exhorter	exhort	exhort	100
1160	exigent	exigeant	exig	exig	100
1161	exist	exister	exist	exist	100
1162	existent	existant	exist	exist	100
1163	existentialist	existentialiste	existentialist	existential	88
1164	exit	sortir	exit	sort	25
1165	exorbitant	exorbitant	exorbit	exorbit	100
1166	exorcist	exorciste	exorcist	exorc	77
1167	expansionist	expansionniste	expansionist	expansion	86
1168	expect	attendre	expect	attendr	15
1169	expectant	en attente	expect	en attent	40
1170	expedient	opportun	expedi	opportun	14
1171	experiment	expérience	experi	expérient	67
1172	experimentalist	expérimentateur	experimentalist	expériment	72
1173	expert	expert	expert	expert	100
1174	explicit	explicite	explicit	explicit	100
1175	exploit	exploit	exploit	exploit	100
1176	exponent	exposant	expon	expos	80
1177	export	exportation	export	export	100
1178	expressionist	expressionniste	expressionist	expression	87
1179	ext	ext	ext	ext	100
1180	extent	Le degré	extent	le degr	31
1181	extinct	disparu	extinct	disparu	14
1182	extinguishment	extinction	extinguish	extinct	59
1183	extort	extorquer	extort	extorqu	77
1184	extract	extrait	extract	extrait	86
1185	extravagant	extravagant	extravag	extravag	100
1186	extremest	extrême	extremest	extrêm	67
1187	extremist	extrémiste	extremist	extrem	80
1188	extrovert	extraverti	extrovert	extravert	89
1189	exuberant	exubérant	exuber	exuber	100
1190	exult	exulter	exult	exult	100
1191	exultant	exultant	exult	exult	100
1192	eyelet	œillet	eyelet	œillet	50
1193	eyesight	vue	eyesight	vu	0
1194	facelift	lifting	facelift	lifting	53
1195	facet	facette	facet	facet	100
1196	fact	fait	fact	fait	75
1197	fadeout	disparaître	fadeout	disparaîtr	24
1198	faggot	fagot	faggot	fagot	91
1199	fagot	fagot	fagot	fagot	100
1200	faint	perdre connaissance	faint	perdre connaiss	20
1201	faintest	le plus faible	faintest	le plus faibl	29
1202	fairest	le plus juste	fairest	le plus just	32
1203	fallout	Tomber	fallout	tomb	18
1204	fanbelt	courroie du ventilateur	fanbelt	courroie du ventil	16
1205	fanciest	le plus fantaisiste	fanciest	le plus fantais	43
1206	fanlight	imposte	fanlight	impost	29
1207	farout	farout	farout	farout	100
1208	farthest	le plus éloigné	farthest	le plus éloign	18
1209	fascist	fasciste	fascist	fascist	100
1210	fast	vite	fast	vit	29
1211	fastest	le plus rapide	fastest	le plus rapid	10
1212	fat	gros	fat	gros	0
1213	fatalist	fataliste	fatalist	fatal	77
1214	fatcat	gros chat	fatcat	gros chat	27
1215	fattest	le plus gros	fattest	le plus gros	21
1216	fattiest	le plus gras	fattiest	le plus gr	22
1217	faucet	robinet	faucet	robinet	31
1218	fault	la faute	fault	la faut	67
1219	faust	faust	faust	faust	100
1220	feast	le banquet	feast	le banquet	40
1221	feat	exploit	feat	exploit	36
1222	featherlight	légère comme une plume	featherlight	légère comme une plum	18
1223	featherweight	poids plume	featherweight	poids plum	9
1224	federalist	fédéraliste	federalist	fédéral	59
1225	feeblest	le plus faible	feeblest	le plus faibl	29
1226	feet	pieds	feet	pied	25
1227	feint	feinte	feint	feint	100
1228	felt	se sentait	felt	se sent	36
1229	feminist	féministe	feminist	fémin	62
1230	fencepost	poteau de clôture	fencepost	poteau de clôtur	24
1231	ferment	fermenter	ferment	ferment	100
1232	ferret	furet	ferret	furet	73
1233	fervent	fervent	fervent	fervent	100
1234	fest	fest	fest	fest	100
1235	fetishist	fétichiste	fetishist	fétich	53
1236	feudist	féodal	feudist	féodal	31
1237	fewest	le moins	fewest	le moin	15
1238	fiat	décret	fiat	décret	20
1239	fibroblast	fibroblaste	fibroblast	fibroblast	100
1240	fidget	agiter	fidget	agit	40
1241	fiercest	le plus féroce	fiercest	le plus féroc	29
1242	fieriest	le plus fougueux	fieriest	le plus fougu	10
1243	fight	bats toi	fight	bats toi	15
1244	figment	invention	figment	invent	62
1245	filament	filament	filament	fil	55
1246	filet	filet	filet	filet	100
1247	fillet	filet	fillet	filet	91
1248	filmset	plateau de tournage	filmset	plateau de tournag	24
1249	filthiest	le plus sale	filthiest	le plus sal	30
1250	finalist	finaliste	finalist	final	77
1251	finest	le meilleur	finest	le meilleur	24
1252	fingerprint	empreinte digitale	fingerprint	empreinte digital	43
1253	firefight	fusillade	firefight	fusillad	24
1254	firelight	lumière du feu	firelight	lumière du feu	26
1255	firmament	firmament	firmament	firm	62
1256	firmest	le plus ferme	firmest	le plus ferm	32
1257	first	première	first	premi	20
1258	fishiest	le plus louche	fishiest	le plus louch	19
1259	fishnet	résille	fishnet	résill	15
1260	fist	poing	fist	poing	22
1261	fit	ajuster	fit	ajust	25
1262	fitment	montage	fitment	montag	46
1263	fittest	le plus apte	fittest	le plus apt	11
1264	fizziest	le plus pétillant	fizziest	le plus pétill	9
1265	flabbiest	le plus mou	flabbiest	le plus mou	30
1266	flagrant	flagrant	flagrant	flagr	77
1267	flakiest	flakiest	flakiest	flakiest	100
1268	flamboyant	flamboyant	flamboy	flamboi	86
1269	flashiest	le plus flashy	flashiest	le plus flashy	43
1270	flashlight	lampe de poche	flashlight	lampe de poch	26
1271	flashpoint	point de rupture	flashpoint	point de ruptur	40
1272	flat	plat	flat	plat	75
1273	flattest	le plus plat	flattest	le plus plat	30
1274	flatulent	flatulent	flatul	flatulent	80
1275	flaunt	faire étalage	flaunt	faire étalag	33
1276	flautist	flûtiste	flautist	flûtist	80
1277	fleet	flotte	fleet	flott	60
1278	fleshiest	fleshiest	fleshiest	fleshiest	100
1279	flight	vol	flight	vol	22
1280	flimsiest	le plus fragile	flimsiest	le plus fragil	17
1281	flint	silex	flint	silex	20
1282	flippant	désinvolte	flippant	désinvolt	24
1283	flirt	flirter	flirt	flirt	100
