	ENG_able	FR_able	eng_stem	fr_stem	ratio_similarity
639	ungovernable	ingouvernable	ungovern	ingouvern	82
640	unguessable	inimaginable	unguess	inimagin	27
641	unidentifiable	non identifiable	unidentifi	non identifi	82
642	unifiable	unifiable	unifi	unifi	100
643	unimaginable	inimaginable	unimagin	inimagin	88
644	unimpeachable	irréprochable	unimpeach	irréproch	44
645	unimplementable	inimplémentable	unimplement	inimplément	82
646	uninhabitable	inhabitable	uninhabit	inhabit	88
647	uninsurable	non assurable	uninsur	non assur	62
648	uninterpretable	ininterprétable	uninterpret	ininterpret	91
649	unjustifiable	injustifiable	unjustifi	injustifi	89
650	unknowable	inconnaissable	unknow	inconnaiss	25
651	unlikeable	peu aimable	unlik	peu aim	33
652	unlovable	inamovible	unlov	inamovibl	43
653	unmaintainable	non maintenable	unmaintain	non mainten	67
654	unmanageable	ingérable	unmanag	inger	33
655	unmatchable	incomparable	unmatch	incompar	40
656	unmeasurable	incommensurable	unmeasur	incommensur	63
657	unmeetable	impossible à rencontrer	unmeet	impossible à rencontr	15
658	unmemorable	immémorable	unmemor	immémor	57
659	unmentionable	inavouable	unmention	inavou	13
660	unmissable	incontournable	unmiss	incontourn	25
661	unmistakable	indubitable	unmistak	indubit	40
662	unmistakeable	indéniable	unmistak	indéni	29
663	unmodifiable	non modifiable	unmodifi	non modifi	78
664	unnavigable	non navigable	unnavig	non navig	75
665	unnoticeable	imperceptible	unnotic	imperceptibl	21
666	unobjectionable	irréprochable	unobjection	irréproch	20
667	unobservable	inobservable	unobserv	inobserv	88
668	unobtainable	impossible à obtenir	unobtain	impossible à obten	31
669	unpalatable	désagréable	unpalat	désagré	14
670	unpardonable	impardonnable	unpardon	impardon	75
671	unplayable	injouable	unplay	injou	18
672	unportable	importable	unport	import	67
673	unpredictable	imprévisible	unpredict	imprévisibl	30
674	unprintable	non imprimable	unprint	non imprim	47
675	unprofitable	peu rentable	unprofit	peu rent	38
676	unpronounceable	imprononçable	unpronounc	imprononc	74
677	unprovable	indémontrable	unprov	indémontr	27
678	unpublishable	non publiable	unpublish	non publi	67
679	unquantifiable	non quantifiable	unquantifi	non quantifi	82
680	unquenchable	inextinguible	unquench	inextinguibl	10
681	unquestionable	incontestable	unquestion	incontest	42
682	unraisable	inestimable	unrais	inestim	31
683	unreachable	inaccessible	unreach	inaccessibl	33
684	unreadable	illisible	unread	illisibl	0
685	unrealisable	irréalisable	unrealis	irréalis	62
686	unreasonable	déraisonnable	unreason	déraison	62
687	unrecognisable	méconnaissable	unrecognis	méconnaiss	50
688	unrecoverable	irrécupérable	unrecover	irrécuper	33
689	unreleasable	indélébile	unreleas	indélébil	24
690	unreliable	non fiable	unreli	non fiabl	27
691	unremarkable	banal	unremark	banal	31
692	unrepairable	irréparable	unrepair	irrépar	53
693	unrepeatable	irremplaçable	unrepeat	irremplac	47
694	unrepresentable	irreprésentable	unrepresent	irreprésent	73
695	unresolvable	insoluble	unresolv	insolubl	50
696	unsaleable	invendable	unsal	invend	18
697	unsatisfiable	insatisfaisant	unsatisfi	insatisfais	80
698	unsealable	invendable	unseal	invend	33
699	unseasonable	hors de saison	unseason	hors de saison	55
700	unsellable	invendable	unsel	invend	36
701	unserviceable	inutilisable	unservic	inutilis	25
702	unshakable	inébranlable	unshak	inébranl	29
703	unshakeable	indéfectible	unshak	indéfectibl	12
704	unsharable	inébranlable	unshar	inébranl	29
705	unshockable	non choquable	unshock	non choqu	38
706	unsinkable	insubmersible	unsink	insubmersibl	33
707	unsociable	insociable	unsoci	insoci	83
708	unsolvable	insoluble	unsolv	insolubl	57
709	unspeakable	indicible	unspeak	indicibl	13
710	unstable	instable	unstabl	instabl	86
711	unstoppable	inarrêtable	unstopp	inarrêt	29
712	unstretchable	non extensible	unstretch	non extensibl	18
713	unsuitable	inapproprié	unsuit	inappropri	25
714	unsupportable	non supportable	unsupport	non support	80
715	unsurpassable	insurpassable	unsurpass	insurpass	89
716	unsurvivable	insurmontable	unsurviv	insurmont	47
717	unsustainable	insoutenable	unsustain	insouten	59
718	unswappable	non échangeable	unswapp	non échange	22
719	untenable	intenable	unten	inten	80
720	untestable	non testable	untest	non test	71
721	unthinkable	impensable	unthink	impens	15
722	untouchable	intouchable	untouch	intouch	86
723	untraceable	introuvable	untrac	introuv	46
724	untranslatable	intraduisible	untranslat	intraduisibl	55
725	untransportable	intransportable	untransport	intransport	91
726	untrappable	insurmontable	untrapp	insurmont	38
727	untreatable	incurable	untreat	incur	33
728	unusable	inutilisable	unus	inutilis	50
729	unutterable	indicible	unutter	indicibl	13
730	unverifiable	invérifiable	unverifi	invérifi	75
731	unvisitable	non visible	unvisit	non visibl	59
732	unwarrantable	injustifiable	unwarrant	injustifi	22
733	unwatchable	inattaquable	unwatch	inattaqu	40
734	unwindable	déroulable	unwind	déroul	17
735	unworkable	impraticable	unwork	impratic	14
736	upgradable	évolutif	upgrad	évolut	17
737	upgradeable	évolutif	upgrad	évolut	17
738	usable	utilisable	usabl	utilis	36
739	useable	utilisable	useabl	utilis	33
740	valuable	précieux	valuabl	précieux	13
741	variable	variable	variabl	variabl	100
742	vegetable	légume	veget	légum	20
743	venerable	vénérable	vener	véner	80
744	verifiable	vérifiable	verifi	vérifi	83
745	veritable	véritable	verit	vérit	80
746	viable	viable	viabl	viabl	100
747	viewable	visible	viewabl	visibl	62
748	visitable	visitable	visit	visit	100
749	voidable	annulable	voidabl	annul	33
750	vulnerable	vulnérable	vulner	vulner	100
751	walkable	praticable	walkabl	pratic	15
752	washable	lavable	washabl	lavabl	62
753	watchable	regardable	watchabl	regard	14
754	watertable	niveau hydrostatique	watert	niveau hydrostat	18
755	wearable	portable	wearabl	portabl	57
756	wettable	mouillable	wettabl	mouill	15
757	winnable	gagnable	winnabl	gagnabl	57
758	workable	réalisable	workabl	réalis	46
759	writable	inscriptible	writabl	inscriptibl	56
